house_title,house_mode,house_area,house_level,house_year,house_address,house_totalprice,house_unitprice
地铁口150米 清水套三双卫 南北通透 阳光充足 看房有钥匙,3室2厅,90m²,低层(共40层),2016年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",95万,10556元/m²
房东装修了很久的房子 家具家电一起卖,2室2厅,80m²,低层(共34层),2015年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",82万,10250元/m²
新房房源 地铁口水电气三通住宅式公寓 可首付5成,3室2厅,85m²,低层(共30层),2017年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",60万,7059元/m²
龙泉西河 单价7300 水电气三通 交通便捷 户型采光佳,3室2厅,91m²,高层(共30层),2018年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",68万,7473元/m²
西河 类住宅公寓 水电气三通 雄飞生活广场,3室2厅,96m²,中层(共30层),2017年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",68万,7083元/m²
地铁口住宅 不是公寓 刚需套二 户型方正 面前无遮挡 随时看,2室2厅,80m²,低层(共40层),2016年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",82万,10250元/m²
西河政府旁 跃层4.8米层高 首付分期15万买套三跃层,3室2厅,82m²,中层(共32层),2019年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",65万,7927元/m²
财神 山下 万达配套 震后商品房 豪装套三 带私家大花园,3室2厅,89m²,共5层,2009年建造,"山水间  
                    都江堰-都江堰-赵公路158号",80万,8989元/m²
急售 房东急需资金降5万 随时看房 没有税费 可以按揭,3室2厅,90m²,中层(共30层),2017年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",65万,7222元/m²
外地人可买不限套数，找我团购，万达广场，精装修，独享团优惠购,3室2厅,99m²,中层(共11层),2018年建造,"成都万达城  
                    都江堰-都江堰-铁军路588号",84万,8485元/m²
地铁口 品质大盘 积家御景精装空房套三 全新装修 看房有钥匙,3室2厅,92m²,低层(共33层),2017年建造,"积家御景  
                    温江-温江城区-柳林路266号",98万,10595元/m²
蓝光大品牌！清水套三房东诚心出售！户型方正！价格可谈！！！,3室2厅,81m²,低层(共31层),2017年建造,"蓝光花满庭3期  
                    新都-大丰-太平碑路100号",95万,11728元/m²
学校附近  中铁银杏广场 精装套三  房东急售,3室2厅,90m²,低层(共25层),2012年建造,"中铁银杏广场  
                    郫都-红光-广场路北四段10号",82万,9051元/m²
地铁口 首付20万买套三 中间楼层对中庭 房东跳楼甩卖,3室2厅,88m²,中层(共32层),2015年建造,"积家御景  
                    温江-温江城区-柳林路266号",90万,10227元/m²
逸景苑13栋清水套三双卫双阳，中间楼层，实际面积136平！,3室2厅,99m²,中层(共32层),2015年建造,"置信逸景苑  
                    彭州-彭州-协和路258号",85万,8581元/m²
新房 现房 套三双卫 对小区中庭 朝南 随时看,3室2厅,92m²,低层(共34层),2018年建造,"林溪康城  
                    龙泉驿-阳光城-幸福大道99号",95万,10326元/m²
地铁口 莱茵北郡 新小区 单价9千 清水套三双卫 对中庭,3室2厅,99m²,低层(共26层),2013年建造,"莱茵北郡  
                    新都-五龙山-厚诚路123号",88万,8809元/m²
新上房源  简约风小套三  朝东对中庭  视野相当巴适,3室2厅,84m²,中层(共26层),2014年建造,"麦田国际社区  
                    新都-新都老城-工业大道西段393号",93万,11071元/m²
上锦颐园佳境简装套三，地铁口，有钥匙，随时可以看房。,3室2厅,88m²,中层(共26层),2011年建造,"上锦颐园佳境  
                    郫都-红光-尚锦路268号",84万,9545元/m²
龙泉西河白桦林 地 铁房 套二可改套三 跃层不限 购,3室2厅,92m²,中层(共31层),2019年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",73万,7935元/m²
东门4号线地铁口 成都大学商圈 水电气三通 雄飞生活广场,3室2厅,90m²,中层(共32层),2018年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",72万,8000元/m²
品质楼盘 保利爱尚里 商业中心 清水套三采光好 随时看房,3室2厅,81m²,低层(共32层),2015年建造,"保利爱尚里  
                    新都-大丰-北星大道一段",85万,10449元/m²
急售精装套三，繁华地段完善生活配套，毗邻凤凰湖湿地公园,3室2厅,91m²,中层(共17层),2013年建造,"蝴蝶洲  
                    青白江-青白江-凤翔大道1266号",85万,9341元/m²
实验外国语对面，90平标准套三双卫只卖92万，你还犹豫吗,3室2厅,90m²,中层(共30层),2015年建造,"佳年华新生活  
                    温江-光华新城-江安路518号",92万,10222元/m²
万辰乐居房源万辰乐居99平,3室2厅,99m²,中层(共6层),2012年建造,"万辰乐居  
                    新津-新津-花源大道290号",85万,8586元/m²
双地铁高新区精装房 推窗见江景公园 天府5街 单价你肯定满意,3室2厅,90m²,中层(共30层),2018年建造,"花样年家天下  
                    双流-华府-九龙湖九组2000号",80万,8889元/m²
精装洋房。拧包入住。度假好去处。临近青城山快铁站。青城山,3室1厅,87m²,共5层,2018年建造,"宝信青城  
                    都江堰-青城山-106省道,近聚青路",95万,10920元/m²
西南食品城 4.8米LOFT雄飞生活广场水电气三通,3室2厅,70m²,中层(共30层),2018年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",50万,7143元/m²
首付20多万买怡心湖高新区旁精装套三双卫  实得90多平,3室2厅,83m²,中层(共17层),2015年建造,"蓝润华府春天  
                    双流-航空港-光电大道289号",94.9万,11408元/m²
周末特推地铁口100米（阿里巴巴旗下超市强势入驻）,3室2厅,96m²,中层(共32层),2015年建造,"富力桃园二期  
                    新都-新都老城-兴城大道108号",98万,10192元/m²
五号线 地铁口 房东诚心出售 随时看房送家具家电品质小区 ！,3室2厅,92m²,高层(共31层),2015年建造,"源上湾万融城三期D区  
                    新都-斑竹园-兴贸大道",95万,10326元/m²
浣溪沙基装房 带车位出售 只要95万 可按揭 采光好 对中庭,3室2厅,99m²,低层(共28层),2016年建造,"愿景浣溪沙  
                    崇州-崇州-蜀州南路57号",95万,9553元/m²
（房源真实）标准套三，单价1万，随时看房，可公积金贷，对中庭,3室2厅,85m²,高层(共7层),1998年建造,"北站东二段5号院  
                    金牛-金牛万达-北站东二段5号",95万,11074元/m²
首付20多万买套三 地铁口 正读香小 中庭不临路 采光无遮挡,3室2厅,88m²,低层(共26层),2012年建造,"御城  
                    新都-新都新城-育英路181号",85万,9621元/m²
4号线地铁口 清水套三双卫 户型方正 随时看房 雄飞生活广场,3室2厅,90m²,低层(共37层),2015年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",95万,10526元/m²
雄飞特价房来了.单价7000起 水气民用可按揭五成 手慢无,3室2厅,90m²,中层(共24层),2017年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",65万,7222元/m²
地铁口  西南食品城 4.8米LOFT雄飞生活广场水电气三通,3室2厅,70m²,中层(共30层),2018年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",50万,7143元/m²
（房源真实）北改待拆迁，精装套三，可停车可公积金，直降7万,3室2厅,85m²,高层(共7层),2000年建造,"北站东二段5号院  
                    金牛-金牛万达-北站东二段5号",95万,11074元/m²
西河新盘不现购 特价7千起 水气民用 可按揭五成 4.8米,3室2厅,90m²,中层(共30层),2017年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",60万,6667元/m²
紫荆城二期 中庭清水套三 随时看房！,3室2厅,85m²,中层(共15层),2015年建造,"紫荆城  
                    都江堰-都江堰-天府大道南段636号",83万,9765元/m²
精装套三 学 区 房 拎包入住,3室2厅,89m²,低层(共32层),2012年建造,"一里阳光  
                    郫都-郫筒-一里阳光街361号",86万,9663元/m²
真实）地铁口150米，开盘特惠，优惠价7000起，水电气公寓,3室2厅,92m²,中层(共30层),2016年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",67万,7238元/m²
中铁奥威尔，只要85万，买精装套三，中间楼层，东南朝向！,3室2厅,88m²,中层(共30层),2015年建造,"中铁奥维尔二期  
                    郫都-郫筒-菠萝上街169号",84.9万,9541元/m²
6号线地铁口 学校房 满2年精装套三 21楼 业主诚心有钥匙,3室2厅,88m²,高层(共30层),2010年建造,"上锦颐园  
                    郫都-红光-尚锦路166号",90万,10218元/m²
新房龙泉西河白桦林 三通类住宅跃层 地 铁房套二可改套三,3室2厅,81m²,中层(共24层),2019年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",64万,7901元/m²
花满庭三期 经典户型，被淘出来的好房.别在观望拉！,3室2厅,81m²,中层(共31层),2015年建造,"蓝光花满庭3期  
                    新都-大丰-太平碑路100号",90万,11111元/m²
芙蓉田园 清水套三双卫 自带产权车位 可随时看房,3室2厅,98m²,低层(共26层),2013年建造,"芙蓉田园  
                    温江-芙蓉古城-康安路366号",94万,9592元/m²
毛坯套三 对中庭 房东急售 看房有钥匙 急急急,3室2厅,81m²,高层(共34层),2015年建造,"新城吾悦广场  
                    龙泉驿-龙泉驿-桃都大道888号",95万,11728元/m²
源上湾，高层，清水房，户型方正 学 区 房 南北 通透,3室2厅,92m²,高层(共29层),2014年建造,"源上湾万融城三期D区  
                    新都-斑竹园-兴贸大道",94万,10184元/m²
城区中心地段  拎包入住  户型方正,3室2厅,83m²,低层(共18层),2012年建造,"泰立观筑  
                    郫都-郫筒-书院街111号",80万,9639元/m²
龙泉 西河地铁口 水电气三通 * 户型方正有阳台无中介,3室2厅,94m²,中层(共30层),2019年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",71万,7498元/m²
观望后悔莫及 税费业主全包 次新小区套三 有品质更实惠,3室2厅,81m²,中层(共28层),2015年建造,"时代睿城  
                    郫都-红光-尚华路108号",86万,10617元/m²
地铁口中信品质爆款房源  首付30三精装房房东诚心出售,3室2厅,90m²,中层(共33层),2014年建造,"中信未来城北区  
                    郫都-郫筒-文信路200号",96万,10667元/m²
中华名城诚心出售，精装套3赠送大，地段成熟，家乐福旁,3室2厅,90m²,高层(共18层),2012年建造,"武海中华名城  
                    青白江-青白江-凤祥大道800号",88万,9778元/m²
望丛祠旁花样年（精装简约风17万）86平套三 83万拎包入住,3室1厅,86m²,高层(共33层),2015年建造,"花样年龙年国际中心  
                    郫都-郫筒-郫花路299号",83万,9651元/m²
万达旁 置信逸都清水套三85万,3室2厅,93m²,低层(共32层),2012年建造,"置信逸都D区  
                    郫都-郫筒-凉水井东路98号",85万,9140元/m²
70年产权住宅，单价10600，精装套三，地铁旁，楼层可选,3室2厅,92m²,中层(共32层),2018年建造,"中德麓府  
                    天府新区-麓山-麓山大道二段,近蓉遵高速",97.5万,10598元/m²
清水电梯顶跃，带很大的屋顶花园，配套齐，出门就是大超市,3室2厅,95m²,高层(共26层),2013年建造,"英祥北城映像  
                    青白江-青白江-凤凰西六路55号",85万,8864元/m²
急售！首付29万 双铁口 别墅区 洋房装修顶跃带花园墅级享受,3室2厅,87m²,高层(共6层),2014年建造,"中铁奥维尔一期  
                    郫都-郫筒-梨园路一段528号",95万,10808元/m²
中铁奥威尔，只要85万，买精装套三，中间楼层，东南朝向！,3室2厅,88m²,中层(共30层),2015年建造,"中铁奥维尔二期  
                    郫都-郫筒-菠萝上街169号",85万,9572元/m²
神房源 房子一口价98万 洋房套三 精装修小区很便宜一套,3室2厅,88m²,中层(共6层),2014年建造,"中铁瑞景澜庭  
                    温江-温江城区-花都大道西段266号",98万,11133元/m²
成都万达城精致套三 滨江新区新城核心 大小适中 小康之家宜居,3室2厅,95m²,高层(共12层),2017年建造,"成都万达城  
                    都江堰-都江堰-铁军路588号",80万,8421元/m²
成实外旁，抄底总价，首付25万，精装修拎包入住,3室2厅,80m²,高层(共32层),2015年建造,"佳年华新生活  
                    温江-光华新城-江安路518号",83万,10375元/m²
诚售！（超好视野 楼下就是公园）清水套三双卫 欢迎随时看房,3室2厅,93m²,高层(共26层),2014年建造,"深业泰然怡湖玫瑰苑  
                    青白江-青白江-青江北路69号",83万,8925元/m²
天府新区核心区麓山高端板块，千亿央企首付5成，8800元起,3室2厅,99m²,中层(共24层),2018年建造,"建发第五大道  
                    天府新区-麓山-麓山大道二段1201号",88万,8889元/m²
新都新城市广场旁维也纳花园套二已改套三东西向视野好,3室2厅,84m²,高层(共6层),2009年建造,"维也纳花园  
                    新都-新都新城-马超东路2号",80万,9524元/m²
蓝光 保利 清水套三双阳台 单价1.1 有钥匙随时看房采光好,3室2厅,81m²,中层(共30层),2017年建造,"保利城二期  
                    新都-大丰-寸龙桥路189号",90万,11111元/m²
地铁4号线200米水电气三通单价仅7000 首付仅10来万,1室1厅,89m²,低层(共28层),2016年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",67万,7528元/m²
西河地铁口 水电气三通 不 限 购 的东门福地,3室2厅,96m²,中层(共18层),2018年建造,"雄飞生活广场  
                    龙泉驿-西河-成洛大道3199号",69.8万,7271元/m²
东客站附近 准现房 世界500强开发 双地铁口2.7号线便捷,3室2厅,80m²,低层(共28层),2018年建造,"梦魔方广场  
                    成华-东客站-金马河路,近中环路锦绣大道段",87万,10875元/m²
标准竖厅套三，现在首付仅需22万，背后就是名校，速度捡漏咯,3室2厅,81m²,低层(共32层),2018年建造,"佳年华新生活  
                    温江-光华新城-江安路518号",85万,10444元/m²
地铁口.套三双卫.清水房随意装修.有钥匙.随时看房.新盘代理,3室2厅,89m²,高层(共33层),2015年建造,"圣采泊尚  
                    新都-大丰-敬成路501号",90万,10112元/m²
单价一万 近实验外国语学校 近涌泉地铁口,3室2厅,89m²,高层(共30层),2013年建造,"佳年华新生活  
                    温江-光华新城-江安路518号",92万,10227元/m²
交通便利  近地铁口 佳年华刚需楼盘，性价比超高的清水套三,3室2厅,81m²,低层(共31层),2016年建造,"佳年华新生活  
                    温江-光华新城-江安路518号",84.8万,10469元/m²
龙潭寺 通透户型 标准套三 低单价 居家福地 诚心急售,3室2厅,96m²,高层(共6层),2009年建造,"居家福地  
                    成华-龙潭寺-宝耳路9号",98万,10128元/m²
晶宝塞纳国际精装套三，实得面积105平，房东诚心急售,3室2厅,88m²,中层(共25层),2015年建造,"晶宝塞纳国际  
                    郫都-红光-犀团路999号",92万,10455元/m²
清水套三 单价才一万多点 惊爆价格 房东诚心卖,3室2厅,89m²,高层(共29层),2016年建造,"佳年华新生活  
                    温江-光华新城-江安路518号",92万,10236元/m²
郫县红光塞纳国际套三精装修带家具家电 邻有轨电车 三所大学,3室2厅,88m²,中层(共25层),2015年建造,"晶宝塞纳国际  
                    郫都-红光-犀团路999号",90万,10227元/m²
专员优惠点6万起 外地户也可买 101绝美精装 山景刚需户型,3室2厅,101m²,中层(共12层),2018年建造,"成都万达城  
                    都江堰-都江堰-铁军路588号",81.8万,8099元/m²
万达精装新房产权101平 独 家资源 舒适电梯观景房 首付低,3室1厅,101m²,中层(共12层),2018年建造,"成都万达城  
                    都江堰-都江堰-铁军路588号",81万,8020元/m²
品质大盘 中间楼层 佳年华清水套三双卫 户型端正 看房有钥匙,3室2厅,89m²,低层(共33层),2017年建造,"佳年华新生活  
                    温江-光华新城-江安路518号",92万,10337元/m²
沙湾 光荣北路标准套三 低楼层 不临街 带装修可直接入住,3室1厅,80m²,中层(共7层),1999年建造,"光荣北路9号院  
                    金牛-沙湾-光荣北路9号",90万,11250元/m²
凤凰站C3出口300米 温馨三房 满两年 欢迎实地看房,3室2厅,83m²,低层(共34层),2015年建造,"合能珍宝琥珀  
                    温江-光华新城-凤凰南大街174号",95万,11446元/m²
都江堰 万达城 101平小套三 适合多口之家 优惠6W起,3室2厅,101m²,中层(共14层),2019年建造,"成都万达城  
                    都江堰-都江堰-铁军路588号",95.6万,9465元/m²
幸福东方白桦林，loft跃层，层高4.8米，买 一层送一层,3室2厅,80m²,中层(共30层),2018年建造,"九峰国际公寓  
                    龙泉驿-西河-成洛大道5888号",95万,11875元/m²
蓝光千亩大盘精装现房类住宅公寓带学位水电气三通,3室2厅,82m²,中层(共23层),2018年建造,"蓝光TMAX  
                    双流-航空港-黄河中路二段",82万,10000元/m²
建发第五大道天府新区麓山板块，麓山地铁口，三面采光户型。,3室2厅,99m²,高层(共16层),2017年建造,"建发第五大道  
                    天府新区-麓山-麓山大道二段1201号",90万,9091元/m²
地铁口精装套三 视野无遮挡 采光好 房东急售,3室2厅,89m²,高层(共28层),2015年建造,"地铁首座  
                    温江-温江大学城-学府路南段133号",98万,11011元/m²
银诚现房 已满两年 精装套三 家具家电全送 地铁西河站,3室2厅,91m²,低层(共34层),2015年建造,"银诚东方国际  
                    龙泉驿-西河-龙跃商业街78号",95万,10397元/m²
地铁旁 全新精装套二 满2年 无高额税费 看房方便,2室2厅,80m²,低层(共34层),2014年建造,"传化国际新城  
                    新都-新都老城-物流大道666号",83万,10289元/m²
恒大城旁 泰和 实得面积110平的大套三 对中庭,3室2厅,99m²,中层(共33层),2015年建造,"泰合新光华府  
                    温江-温江城区-温泉大道二段,近凤溪大道",95万,9522元/m²
财大旁  金强大学城  精装小套三  拎包入住  满2年,3室2厅,85m²,中层(共18层),2008年建造,"金强大学城  
                    温江-温江大学城-南熏大道三段855号",82万,9647元/m²
东客站附近 准现房 世界500强开发 双地铁口2.7号线便捷,3室2厅,80m²,低层(共28层),2018年建造,"梦魔方广场  
                    成华-东客站-金马河路,近中环路锦绣大道段",87万,10875元/m²
精装龙泉70年新盘 首付三成 直接认购  随时看房,3室2厅,93m²,中层(共40层),2018年建造,"华府幸福城  
                    龙泉驿-阳光城-幸福大道333号",92万,9892元/m²
（房源真实）精装套三，首付27万，价格可谈，带花园，临近地铁,3室2厅,83m²,高层(共8层),1996年建造,"翠贤居  
                    金牛-解放路-马鞍北路39号",91万,10943元/m²
（房源真实）精装套三，环境优美，近地铁待拆迁，房东急降7万,3室2厅,83m²,高层(共8层),1996年建造,"翠贤居  
                    金牛-解放路-马鞍北路39号",91万,10943元/m²
天府新区兴隆湖大学里70年住宅新盘发售8800起,3室2厅,87m²,中层(共33层),2018年建造,"天府大学里  
                    成都周边-仁寿-花海大道一段10号",90万,10345元/m²
万达满两年清水套三价格可以谈西南朝向业主诚心出售有钥匙,3室2厅,86m²,高层(共32层),2015年建造,"蜀都万达广场  
                    郫都-郫筒-望丛东路347号",89万,10253元/m²
天府新区 麓山大道 惊爆价9000起 家门口就是地铁,3室2厅,99m²,高层(共25层),2019年建造,"建发第五大道  
                    天府新区-麓山-麓山大道二段1201号",90万,9091元/m²
