house_name,house_location,house_status,house_price,price_unit
蓝光观岭国际社区,[ 金堂 金堂 ] 观岭大道1118号,在售,6200,元/㎡起
炎华置信花千集中心,价格,在售,18000,元/㎡起
炎华置信上林開府,[ 温江 温江 ] 云溪路515、518号,在售,11000,元/㎡
佳兆业天悦,[ 锦江 春熙路 ] 锦兴路63号,待售,20714,元/m²
德商御府天骄学府,[ 天府新区 华阳 ] 剑南大道与沈阳路交汇处（天府四中东侧...,待售,18000,元/㎡
蓝光长岛国际社区,"[ 双流 新双楠 ] 永康大道,近统力大道",在售,13000,元/㎡
润扬19,[ 双流 航空港 ] 长江路二段5号附7号,待售,11000,元/m²
川发蓝光芙蓉天府,[ 成都周边 成都周边 ] 仁寿北新城天府大道仁寿段与仁寿大道交...,在售,9000,元/㎡起
百郦锦城,[ 新都 蓉都大道 ] 成都地铁3号线团结新区站,待售,10798,元/m²
新力翡翠湾,[ 青白江 青白江 ] 红阳大道与同华大道交汇处,在售,6800,元/㎡起
领地天府蘭台,[ 新津 新津 ] 花源镇紫云路，兴普大道399号,在售,9299,元/㎡起
成发紫悦府商铺,[ 成华 万年场 ] 水碾河路1号,在售,40000,元/㎡
奥园天骄,[ 双流 华阳 ] 锦江路四段（四川文化产业职业学院旁）,待售,17000,元/㎡
俊发滨河俊园,[ 新都 新都 ] 新都新繁镇滨江西路北侧（新繁幼儿园旁...,在售,6090,元/㎡起
中建天府公馆,[ 高新 中和 ] 红星路南延线与观东二街交汇处,待售,18184,元/m²
保利天空之城,[ 天府新区 麓山 ] 红星路南延线梓州大道一段（武汉路与梓...,在售,15000,元/㎡
碧桂园上观,[ 新都 新都 ] 植物园旁,待售,17500,元/㎡
华侨城云岸,[ 金牛 华侨城 ] 西三环与交大路交汇处（交大立交旁）,在售,12500,元/㎡起
中南上熙府熙悦,[ 温江 光华大道 ] 温泉大道二段,在售,16000,元/㎡
新尚尚院,[ 温江 光华大道 ] 光华大道三段（骑士大道与光华八线交汇...,待售,11000,元/㎡
