house_name,house_location,house_status,house_price,price_unit
华融现代城,[ 江北 海尔路 ] 港兴路11号,待售,14333,元/m²
国盛天鹅墅,价格,在售,150,万元/套起
融信澜湾,[ 巴南 龙洲湾 ] 大山村轻轨站旁,在售,12500,元/㎡
中建瑾和城,[ 沙坪坝 西永 ] 团歇路与西尊路交叉口,在售,13500,元/㎡
中国摩,[ 渝北 两路空港 ] 空港东路777号,在售,14000,元/㎡
万科翡翠都会,[ 渝中 解放碑 ] 黄花园,在售,280,万元/套起
万科重庆天地,[ 渝中 化龙桥 ] 化龙桥瑞天路158号,在售,19500,元/㎡
万科金域华庭,[ 沙坪坝 磁器口 ] 金沙正街国盛大桥旁,在售,14100,元/㎡
万科观承,[ 北碚 蔡家 ] 中环快速干道,待售,11500,元/㎡
重庆融创文旅城,[ 沙坪坝 西永 ] 西桂路8号,在售,9300,元/㎡
瀚学融府,[ 两江新区 两江新区 ] 龙骏大道899号,在售,9800,元/㎡
恒大国际文化城,[ 江津 江津 ] 珞璜收费站下道处,在售,7800,元/㎡
弘阳时光澜庭,[ 九龙坡 其他 ] 陶家（九龙园区轻轨站）,在售,7300,元/㎡
旭辉江山青林半,[ 巴南 龙洲湾 ] 南云篆山麓,在售,9000,元/㎡起
金地自在城,[ 大渡口 其他 ] 华福大道以东、民德路以南，华岩国际酒...,在售,10800,元/㎡
金融街融景城,[ 江北 北滨路 ] 建新东路,在售,16800,元/㎡
保亿湖山鹿鸣,[ 巴南 鹿角 ] 怡林路,待售,12450,元/m²
中交漫山,[ 南岸 茶园新区 ] 梨花大道39号,在售,238,万元/套起
佳兆业滨江新城,[ 大渡口 九宫庙 ] 钢城大道南段58号,在售,11000,元/㎡
璟樾云山,[ 巴南 鹿角 ] 金鹿大道,待售,12633,元/m²
两江春城,"[ 渝北 冉家坝 ] 盘溪路,近余松路",在售,194,万元/套起
恒大阳光半岛,[ 重庆周边 昆明 ] 五华区人民路壹号广场,待售,13279,元/m²
万科御澜道,[ 江北 江北嘴 ] 凤澜路89号,在售,18500,元/㎡
万科金开悦府,[ 两江新区 两江新区 ] 金兴大道园博园正门旁885号,在售,15500,元/㎡起
万科金域学府,[ 南岸 学府路 ] 二塘路59号,待售,13456,元/m²
万科森林公园,[ 渝北 中央公园 ] 中央公园,在售,150,万元/套起
金沙玖悦,[ 沙坪坝 三峡广场 ] 模范村社区公园旁,在售,15000,元/㎡
万科17英里,[ 两江新区 两江新区 ] 五彩滨江公园旁,在售,270,万元/套起
荣盛城,[ 大渡口 其他 ] 金中大道与新郭伏路交汇处,在售,11000,元/㎡
金辉中央銘著,[ 渝北 中央公园 ] 甘悦大道,在售,15500,元/㎡起
北大资源悦来玖仰,[ 两江新区 两江新区 ] 悦城路33号,在售,10500,元/㎡起
龙湖昱湖壹号,[ 渝北 礼嘉 ] 礼贤路,在售,21000,元/㎡起
金科美的碧桂园金辉曲建礼悦江山,[ 渝北 礼嘉 ] 光照路附近 （金通大道与金海大道交界...,在售,18000,元/㎡起
重庆阳光城,[ 北碚 蔡家 ] 同康路18号,在售,115,万元/套起
金科城,[ 北碚 蔡家 ] 嘉景大道6号,在售,14000,元/㎡
华商悦江府,[ 渝北 悦来 ] 同茂大道（悦来小学旁）,在售,14500,元/㎡起
公园大道,"[ 渝北 中央公园 ] 公园东路,近同茂大道",在售,360,万元/套起
朗基水印三生,[ 沙坪坝 西永 ] 陈家桥地铁站旁,在售,14000,元/㎡
美的荣安公园天下,[ 巴南 鹿角 ] 天鹿大道,在售,13000,元/㎡起
融创碧桂园望江府,[ 渝北 悦来 ] 悦融一路1号,在售,13000,元/㎡起
鲁能南渝星城,[ 巴南 鱼洞 ] 箭河路600号,在售,8300,元/㎡起
桂语九里,[ 沙坪坝 西永 ] 微电园西尊路,在售,12500,元/㎡起
富力院士廷,[ 沙坪坝 西永 ] 陈家桥地铁站旁,在售,13000,元/㎡起
蓝光水岸公园,[ 巴南 龙洲湾 ] 渝南大道（花溪轨道站前行约500米）,在售,9150,元/㎡起
龙湖九里晴川揽境,"[ 两江新区 两江新区 ] 金通大道,近平祥路",在售,19000,元/㎡起
金科御临河,[ 两江新区 两江新区 ] 龙兴镇两江大道龙脑山公交站,在售,220,万元/套起
恒大翡翠湾,[ 北碚 蔡家 ] 嘉运大道1号,在售,175,万元/套起
桃源居,[ 渝北 两路空港 ] 桃源大道409号,在售,270,万元/套起
龙湖西宸原著,[ 沙坪坝 大学城 ] 科技学院东侧,在售,13000,元/㎡
西永9号,[ 沙坪坝 西永 ] 陈家桥轻轨站旁,在售,11000,元/㎡起
碧桂园保利云禧,[ 巴南 龙洲湾 ] 龙泽路666号（轻轨3号线鱼胡路站旁）,在售,9500,元/㎡起
云山长麓,[ 北碚 城北新区 ] 云开路,在售,10500,元/㎡起
中粮中央公园祥云,[ 渝北 中央公园 ] 中央公园西（渝北巴蜀小学旁）,在售,17000,元/㎡起
启迪协信城立方,[ 沙坪坝 大学城 ] 大学城东路6号,在售,7600,元/㎡
华润置地琨瑜府,[ 北碚 城南新区 ] 碚青路状元小学旁,在售,11000,元/㎡
新城朗隽大都会,[ 渝北 中央公园 ] 兰桂大道与萱华路交汇处北侧,在售,20000,元/㎡
中交中央公园,[ 渝北 中央公园 ] 公园东路,在售,197,万元/套起
中交锦悦,[ 巴南 龙洲湾 ] 盛龙路1129号,在售,200,万元/套起
君临南山崇德府,[ 南岸 黄桷桠 ] 第二外国语学校正对面,在售,16000,元/㎡
江山樾,"[ 两江新区 两江新区 ] 金通大道,近平祥路",待售,16000,元/㎡
北辰悦来壹号,价格,在售,13500,元/㎡起
美的金科郡,[ 沙坪坝 西永 ] 西双大道虎溪河旁,在售,14000,元/㎡起
格力两江总部公园,[ 两江新区 两江新区 ] 龙兴南卧龙路,在售,8999,元/㎡起
中国铁建山语城山栖,[ 北碚 城南新区 ] 缙云大道168号,在售,250,万元/套起
银翔城,[ 北碚 城北新区 ] 银翔大道169号,在售,6000,元/㎡起
保利大国璟,[ 巴南 龙洲湾 ] 尚文大道,在售,9300,元/㎡起
绿地保税中心,[ 江北 海尔路 ] 金渝大道138号,在售,14000,元/㎡
恒大新城,[ 巴南 龙洲湾 ] 渝南大道1113号,在售,9500,元/㎡
金科天壹府,[ 璧山 璧山区 ] 国家高新区东林大道与聚金大道交汇,在售,6900,元/㎡起
长嘉汇,[ 南岸 南滨路 ] 泰昌路69号,在售,16000,元/㎡起
保利堂悦,[ 南岸 茶园新区 ] 刘家坪轻轨站旁,在售,13000,元/㎡起
中建滨江星城,[ 巴南 龙洲湾 ] 巴南立交（渝南分流道走马梁公交站旁）,在售,8650,元/㎡起
鸿府,[ 渝北 汽博中心 ] 宝环路,在售,163,万元/套起
龙湖長滩原麓,[ 两江新区 两江新区 ] 龙兴,在售,13800,元/㎡起
上邦山居岁月,[ 璧山 璧山区 ] 青杠街道（成渝高速青杠收费站壁山方向...,在售,150,万元/套
碧桂园东原合能千屿,[ 南岸 茶园新区 ] 广茂大道9号,在售,175,万元/套起
中建龙玺台,[ 九龙坡 杨家坪 ] 毛线沟杨渡路,在售,18500,元/㎡起
中建瑜和城,[ 巴南 李家沱 ] 王家坝路公车站旁,在售,9070,元/㎡
金科博翠园,[ 南岸 茶园新区 ] 东西大道,在售,15000,元/㎡
宝嘉花与山,[ 沙坪坝 大学城 ] 学智路717号,在售,199,万元/套起
金融街融府,[ 沙坪坝 双碑 ] （地铁一号线石井坡站前行500米）,在售,14500,元/㎡起
启迪协信重庆科技城,[ 江北 海尔路 ] 寸滩长江大桥北桥头,在售,14500,元/㎡起
恒大绿岛新城,[ 璧山 璧山区 ] 东林大道67号,在售,8300,元/㎡
恒大御龙天峰,[ 江北 北滨路 ] 北滨一路288号,在售,24000,元/㎡
新城玺樾九里,[ 巴南 其他 ] 渝南大道沿线旁,在售,9500,元/㎡
金科博翠天悦,[ 璧山 璧山区 ] 中央休闲生活区核心,在售,10500,元/㎡起
龙湖舜山府,[ 两江新区 两江新区 ] 星光大道,在售,19000,元/㎡起
金科中建博翠长江,[ 大渡口 九宫庙 ] 钢花路1039号,在售,15000,元/㎡
鹏润悦秀御江府,[ 合川 合川 ] 大学城合川公安局旁,在售,5400,元/㎡
阳光100阿尔勒,"[ 巴南 龙洲湾 ] 渝南大道,近兰海高速",在售,154,万元/套起
北京城建龙樾生态城,[ 两江新区 两江新区 ] 悦来生态城（高义口轻轨站旁）,在售,15000,元/㎡起
龙湖两江新宸,"[ 渝北 礼嘉 ] 礼勤路,近礼慈路",待售,18000,元/㎡
洺悦城,[ 巴南 龙洲湾 ] 渝南大道与箭河路交汇处（鱼胡路轻轨站...,在售,9700,元/㎡
融侨首玺,[ 南岸 弹子石 ] 腾龙大道,待售,18501,元/m²
云飞九龙香山,[ 九龙坡 巴国城 ] 冬山路10号,待售,12744,元/m²
和泓文华府,[ 巴南 其他 ] 渝南大道1388号（重庆文化艺术职业学院...,在售,10500,元/㎡起
绿城两江御园,[ 两江新区 两江新区 ] 御园路5号,在售,15000,元/㎡起
恒大湖山半岛,[ 长寿 长寿 ] 长寿镇湖寿西路恒大湖山半岛销售中心,在售,7000,元/㎡
保利爱尚里,[ 九龙坡 石坪桥 ] 石坪桥正街119号,在售,8000,元/㎡起
万瑞MARRIER天幕大平层,[ 两江新区 两江新区 ] 金开大道和金州大道交汇处,在售,18500,元/㎡
荣安林语春风,[ 大渡口 其他 ] 轻轨五号线跳蹬站,在售,7680,元/㎡起
碧桂园渝南首府,[ 巴南 李家沱 ] 花溪街道渝南大道112号（轨道3号线岔路...,在售,9500,元/㎡
复地君屿墅,[ 渝北 回兴 ] 立交旁1061号,在售,169,万元/套起
恒大御景半岛,[ 渝北 照母山 ] 恒福路150号,在售,350,万元/套
升伟一里南滨,[ 南岸 南坪 ] 南坪东路,在售,20000,元/㎡
新城和昱麟云,[ 江津 江津 ] 双福新区津马大道旁,在售,6200,元/㎡起
昕晖中航湖语山,"[ 重庆周边 潼南 ] 隆鑫大道,近巴渝大道",在售,6200,元/㎡
利安凰城御府,[ 永川 永川 ] 海棠大道888号,在售,5200,元/㎡起
中国铁建東林道,[ 璧山 璧山区 ] 地铁云巴站旁（东林大道北源头）,在售,7000,元/㎡
合谊榕府,[ 长寿 长寿 ] 黄桷湾小学旁（建设路与建新南路交汇处...,在售,4366,元/㎡起
金科禹洲朗廷雅筑,[ 渝北 两路空港 ] 空港大道（空港乐园旁）,在售,15000,元/㎡起
万科金域华府,[ 北碚 城北新区 ] 龙凤大道,在售,11000,元/㎡
阳光城新希望翡丽锦悦,[ 巴南 界石 ] 石桂大道16号,在售,7966,元/㎡起
嘉裕国际社区,[ 江津 江津 ] 双福新区九江大道与创业大道交汇处,在售,5700,元/㎡起
万科江上明月,"[ 江北 石马河 ] 宏帆路,近双碑大桥",在售,290,万元/套起
国宾壹号院,[ 九龙坡 其他 ] 虎歇路49号,在售,22000,元/㎡起
碧桂园智慧家,[ 合川 合川 ] 大学城全民健身中心旁,在售,8500,元/㎡
观山御璟,[ 巴南 鹿角 ] 江南新城天鹿大道,在售,12300,元/㎡
华远海蓝城,[ 巴南 巴滨路 ] 巴滨路,在售,10100,元/㎡起
碧桂园中俊天玺,价格,在售,360,万元/套起
金科天壹府,[ 璧山 璧山区 ] 国家高新区东林大道与聚金大道交汇,在售,6900,元/㎡起
长嘉汇,[ 南岸 南滨路 ] 泰昌路69号,在售,16000,元/㎡起
保利观塘,[ 南岸 学府路 ] 南坪镇街道二塘路79号,待售,13618,元/m²
保利堂悦,[ 南岸 茶园新区 ] 刘家坪轻轨站旁,在售,13000,元/㎡起
协信天骄星城,[ 巴南 李家沱 ] 凯德西路30号,在售,9800,元/㎡
中建滨江星城,[ 巴南 龙洲湾 ] 巴南立交（渝南分流道走马梁公交站旁）,在售,8650,元/㎡起
桥达茂宸广场,[ 两江新区 两江新区 ] 空港大道（轻轨3号线观月路站旁）,在售,13000,元/㎡起
恒大世纪城,[ 渝北 照母山 ] 湖红路56号,待售,14500,元/m²
恒泰悦府,[ 璧山 璧山区 ] 东林大道和东山路交汇处（前行100米）,在售,7000,元/㎡
鸿府,[ 渝北 汽博中心 ] 宝环路,在售,163,万元/套起
龙湖長滩原麓,[ 两江新区 两江新区 ] 龙兴,在售,13800,元/㎡起
上邦山居岁月,[ 璧山 璧山区 ] 青杠街道（成渝高速青杠收费站壁山方向...,在售,150,万元/套
中央大街,[ 北碚 蔡家 ] 云霞路188号,在售,9600,元/㎡起
金辉泊舍,[ 南岸 南滨路 ] 金辉公园旁,在售,350,万元/套起
华南城巴南华府,[ 巴南 南泉 ] 东城大道8号,在售,8000,元/㎡
碧桂园东原合能千屿,[ 南岸 茶园新区 ] 广茂大道9号,在售,175,万元/套起
朵力迎宾大道,[ 大渡口 双山 ] 双山路187号,在售,12300,元/㎡
力帆翡翠华府,[ 北碚 蔡家 ] 同康路539号,待售,12533,元/m²
金隅南山郡一期,[ 南岸 南坪 ] 向黄路2号,在售,213,万元/套起
首创西江阅,[ 九龙坡 西彭 ] 西彭镇铝城大道486路西彭起点站旁,在售,5200,元/㎡起
中建龙玺台,[ 九龙坡 杨家坪 ] 毛线沟杨渡路,在售,18500,元/㎡起
中建瑜和城,[ 巴南 李家沱 ] 王家坝路公车站旁,在售,9070,元/㎡
金科博翠园,[ 南岸 茶园新区 ] 东西大道,在售,15000,元/㎡
金科联发東悦府,[ 南岸 茶园新区 ] 渝巴路,在售,14500,元/㎡起
恒大云湖上郡,[ 两江新区 两江新区 ] 龙骏大道中段,在售,10797,元/㎡起
卓越西麓九里,[ 大渡口 其他 ] 西城大道旁（福茄路）,在售,11800,元/㎡
宝嘉花与山,[ 沙坪坝 大学城 ] 学智路717号,在售,199,万元/套起
金融街融府,[ 沙坪坝 双碑 ] （地铁一号线石井坡站前行500米）,在售,14500,元/㎡起
启迪协信重庆科技城,[ 江北 海尔路 ] 寸滩长江大桥北桥头,在售,14500,元/㎡起
合景泰富誉峰,[ 渝北 中央公园 ] 中央公园西入口300米,在售,20000,元/㎡起
恒大绿岛新城,[ 璧山 璧山区 ] 东林大道67号,在售,8300,元/㎡
恒大御龙天峰,[ 江北 北滨路 ] 北滨一路288号,在售,24000,元/㎡
融创紫泉枫丹,[ 北碚 城北新区 ] 缙云大道113号,在售,230,万元/套起
新城金樾府,[ 巴南 龙洲湾 ] 云教育产业园,在售,7600,元/㎡起
新城玺樾九里,[ 巴南 其他 ] 渝南大道沿线旁,在售,9500,元/㎡
金科博翠天悦,[ 璧山 璧山区 ] 中央休闲生活区核心,在售,10500,元/㎡起
龙湖舜山府,[ 两江新区 两江新区 ] 星光大道,在售,19000,元/㎡起
金科中建博翠长江,[ 大渡口 九宫庙 ] 钢花路1039号,在售,15000,元/㎡
鹏润悦秀御江府,[ 合川 合川 ] 大学城合川公安局旁,在售,5400,元/㎡
阳光100阿尔勒,"[ 巴南 龙洲湾 ] 渝南大道,近兰海高速",在售,154,万元/套起
京汉凤凰城,[ 巴南 龙洲湾 ] 渝南大道353号（海洋公园旁）,在售,9000,元/㎡起
北京城建龙樾生态城,[ 两江新区 两江新区 ] 悦来生态城（高义口轻轨站旁）,在售,15000,元/㎡起
中德时光岭,[ 北碚 蔡家 ] 同康路79号,在售,9700,元/㎡
阳光城翡丽公园,[ 沙坪坝 双碑 ] 远祖桥公交车站旁（1号线双碑站前行80...,在售,12000,元/㎡起
世茂璀璨天城,[ 渝北 汽博中心 ] 金石大道333号（  轻轨10号线三亚湾轻...,在售,160,万元/套起
恒大御府,[ 渝北 照母山 ] ·金州大道（轨道重光站）,在售,19000,元/㎡起
众泰翡翠湖,[ 合川 合川 ] 合阳大道869号,在售,6000,元/㎡起
