house_name,house_location,house_status,house_price,price_unit
阳光100凤凰街,[ 岳麓 洋湖垸 ] 猴子石大桥西头北,在售,35000,元/㎡起
长房东旭国际,价格,待售,12500,元/㎡
长房平和墅•观山月高层,"[ 雨花 武广新城 ] 洞井路,近湘府东路",在售,9200,元/㎡
绿地长沙城际空间站,[ 雨花 武广新城 ] 花侯路与曲塘路交汇处,在售,12200,元/㎡
邦盛山·水岸御园三期,"[ 岳麓 洋湖垸 ] 含浦中路,近联丰路",待售,8000,元/㎡
藏珑湖上公馆,[ 开福 月湖 ] 洪山路188号月湖公园北侧,待售,11273,元/m²
梅溪湖•金茂湾,[ 岳麓 梅溪湖 ] 梅溪湖路276号,在售,14000,元/㎡
中天星耀城,[ 雨花 武广新城 ] 体院路与木莲东路交汇处,在售,12000,元/㎡起
华远华时代,[ 开福 开福中心 ] 开福区芙蓉中路与德雅路交汇处东南角,在售,22000,元/㎡起
福晟翡翠湾,[ 岳麓 梅溪湖 ] 环湖路与近湖九路交汇处（城市岛旁）,待售,13683,元/m²
鸿海·公园里,[ 望城 斑马湖 ] 马桥河路与同心路交汇处西北角,待售,5600,元/㎡
嘉宇·北部湾,[ 望城 其他 ] 湘江大道北,在售,5693,元/㎡起
印湘江,[ 天心 南城省府 ] 新韶西路399号,在售,18000,元/㎡
中建嘉和城丨凤凰台,[ 雨花 汽车南站 ] 时代阳光大道与林科路交汇处,在售,9400,元/㎡
中海阅江府,[ 岳麓 洋湖垸 ] 洋湖国际新城先导路与湘浦路交汇处西南...,在售,14000,元/㎡
龙湖碧桂园•天宸原著,[ 芙蓉 芙蓉中心 ] 人民东路与滨河路交叉口以北,在售,14000,元/㎡
澳海望洲府,[ 望城 雷锋大道 ] 长沙望城普瑞大道与沿河路交汇处,在售,5300,元/㎡起
长沙亿达智造小镇,[ 望城 雷锋大道 ] 金星大道与郭亮路交汇处西北角,待售,5800,元/㎡
建发央著,[ 岳麓 梅溪湖 ] 长沙市岳麓区梅溪湖映日路以东雪松路以...,在售,18000,元/㎡
君合天玺,[ 天心 天心中心 ] 书院南路188号,在售,13200,元/㎡起
荣盛花语书苑,[ 天心 天心中心 ] 经贸街125号,在售,12000,元/㎡
卓越江岸,[ 天心 天心中心 ] 书院路与都江路交汇处,待售,9900,元/㎡
绿地香树花城,"[ 望城 斑马湖 ] 马桥河路,近同心路",在售,5800,元/㎡
长沙恒大文化旅游城,[ 岳麓 麓南含浦 ] 潭州大道二段528号,在售,10900,元/㎡
