house_name,house_location,house_status,house_price,price_unit
万科金地天空之城,[ 松山湖区 松山湖 ] 东莞市松山湖松湖烟雨东500米,待售,35000,元/㎡
万科金域广场,价格,在售,22000,元/㎡
万科城市之光,[ 滨海区 虎门 ] 东莞市虎门镇博涌社区穗莞深城轨商贸城...,在售,24000,元/㎡起
四季悦山,[ 东南临深区 清溪 ] 龙岗中心北清凤大道景山公园侧,在售,19000,元/㎡
星河时代,[ 东南临深区 塘厦 ] 樟木江街路,在售,23000,元/㎡起
碧桂园潼湖科技小镇,[ 东莞周边 周边 ] 惠州仲恺高新区沥林镇智慧大道1号,在售,11500,元/㎡
恒大御景半岛,[ 滨海区 沙田 ] 临洋路8号,在售,19000,元/㎡起
艺境松山湖,[ 松山湖区 石排 ] 东莞松山湖生态园石崇大道与公园南路交...,在售,16800,元/㎡
松湖碧桂园·天鉆,[ 松山湖区 大岭山 ] 莞长路与石大路交汇处（松山湖总部基地...,在售,24000,元/㎡
旭辉江山墅,[ 松山湖区 石排 ] 石崇大道与公园南路交汇处,在售,[],元/㎡
碧桂园信鸿铜雀台,[ 水乡新城 麻涌 ] 望海路5号,在售,[],元/㎡
安华香蜜松湖,[ 松山湖区 大朗 ] 美怡路,在售,[],元/㎡
万科金色城品,[ 中心城区 南城 ] 莞太路与新基路交叉处,在售,[],元/㎡
金地时代艺境,[ 东部产业园 常平 ] 新城中心环常南路旁（潮莞高速出入口）,在售,[],元/㎡
汇景御海蓝岸,[ 滨海区 沙田 ] 沙田大道,在售,17000,元/㎡起
光大锦堂阁,[ 水乡新城 中堂 ] 东莞市莞穗路中堂段42号,在售,16000,元/㎡起
时代香海彼岸,[ 水乡新城 道滘 ] 兴华街与第二工业区一横路交叉口西北5...,在售,[],元/㎡起
方直星澜,[ 东南临深区 塘厦 ] 桥蛟中路51号,在售,[],元/㎡起
奥园城市天地,[ 东南临深区 樟木头 ] 东莞市樟木头镇先威路76号,在售,[],元/㎡起
和昌·众筑中央园著,[ 东部产业园 黄江 ] 锦绣路7号,在售,[],元/㎡起
海伦堡松湖湾,[ 东部产业园 东坑 ] 沿河西一路,在售,16000,元/㎡
光大山湖城,[ 松山湖区 大岭山 ] 连马路,在售,[],元/㎡
恒大江湾,[ 水乡新城 望牛墩 ] 北环路,在售,[],元/㎡
阳光城愉景湾,[ 中心城区 石碣 ] 黎屋爱敬路与崇焕中路交汇处,在售,16000,元/㎡起
御河湾花园,[ 东部产业园 横沥 ] 育才路1号,在售,13800,元/㎡
山水江南玖峯,[ 东部产业园 桥头 ] 桥新东二路6号,在售,[],元/㎡
金地风华,[ 中心城区 万江 ] 新城一路与新城东路交汇处（万江区政府...,在售,450,万元/套起
中泰峰境,[ 东部产业园 黄江 ] 聚富路,在售,17000,元/㎡
冠科泊樾湾,[ 滨海区 虎门 ] 358省道龙眼路37号,在售,20000,元/㎡起
戛纳湾,[ 东部产业园 桥头 ] 桥新东二路（北师大附属学校西南侧）,在售,12000,元/㎡
中央美地,[ 中心城区 万江 ] 莫屋大街115号,待售,16932,元/m²
新世纪中和园,[ 东南临深区 清溪 ] 清凤路1号,在售,20000,元/㎡起
瀚柏·青柠时代,[ 中心城区 万江 ] 万道路与莲子坊商业交汇处,在售,18000,元/㎡
时代天境,[ 松山湖区 石排 ] 公园南路,在售,18000,元/㎡
卓越中寰,[ 中心城区 莞城 ] 东城中路,在售,23000,元/㎡
鼎峰悦境,[ 滨海区 长安 ] 霄边大街98号,在售,28000,元/㎡起
富盈东方美誉,[ 中心城区 莞城 ] 体育路98号,在售,24000,元/㎡
天麟天瑞花园,[ 松山湖区 大朗 ] 富民中路,在售,23000,元/㎡
文一居,[ 水乡新城 道滘 ] 广深高速道滘出入口旁,在售,17000,元/㎡起
时代荟,[ 松山湖区 茶山 ] 茶山南路,在售,24000,元/㎡
盛和雅颂,[ 东部产业园 横沥 ] 北环路,在售,15000,元/㎡
卓越维港,[ 滨海区 厚街 ] 莞太路,在售,30000,元/㎡
御海蓝岸臻品,[ 滨海区 沙田 ] 沙田大道,在售,19000,元/㎡
中惠松湖城,[ 松山湖区 寮步 ] 金兴路525号,在售,21000,元/㎡起
万科中天城市花园二期,[ 中心城区 东城 ] 东莞第一中学南门对面,在售,22000,元/㎡起
碧桂园古梅荟,[ 水乡新城 麻涌 ] 古梅路与振兴路交界处,在售,16000,元/㎡
卓越弥敦道,[ 中心城区 石碣 ] 崇焕大道与刘沙南路交汇处,待售,18894,元/m²
中惠卡丽兰,[ 中心城区 东城 ] 环城路与东升路交汇处,在售,21000,元/㎡
南峰华桂园,[ 东南临深区 清溪 ] 清凤路106号,在售,17300,元/㎡
北大资源公馆1898,[ 东南临深区 樟木头 ] 天一城旁,在售,19000,元/㎡起
锦多宝吉祥龙,[ 东南临深区 樟木头 ] 宝山路,在售,21000,元/㎡
望景台,[ 东部产业园 桥头 ] 桥新路26号,在售,14500,元/㎡
新世纪君汇半岛,[ 水乡新城 道滘 ] 外环路,在售,16800,元/㎡
金地城南艺境,[ 水乡新城 道滘 ] 港口大道,在售,17500,元/㎡
碧桂园松湖珑悦,[ 松山湖区 寮步 ] 教育路157号,在售,13000,元/㎡
万科滨海大都会,[ 滨海区 虎门 ] 滨海湾新区虎门人民北路与太宝路交汇处,待售,24100,元/m²
万科首铸翡翠东望,[ 中心城区 南城 ] 南城区建设路和运河东三路交界处,在售,550,万元/套起
佳兆业御龙山,[ 滨海区 虎门 ] 连升路,在售,24000,元/㎡
春风格拉斯,[ 东部产业园 东坑 ] 骏发路,在售,16000,元/㎡
礼顿金御海湾,[ 滨海区 沙田 ] 渡轮路,在售,14500,元/㎡
帝景中央,[ 中心城区 南城 ] 绿色路,在售,35000,元/㎡起
富盈都市华府,价格,在售,14500,元/㎡起
新壹城华府,[ 水乡新城 道滘 ] 广深高速道滘出口旁(振兴路与中心环路...,在售,16000,元/㎡
莲湖山庄,[ 松山湖区 大岭山 ] 莞长路,在售,900,万元/套起
碧桂园天御湾,[ 水乡新城 洪梅 ] 迎宾大道高层西3号,在售,16500,元/㎡起
东城碧桂园,[ 中心城区 东城 ] 新兴路,在售,22000,元/㎡
大道松山湖,[ 松山湖区 寮步 ] 建新路68号,在售,17300,元/㎡起
融创清溪壹号,[ 东南临深区 清溪 ] 文秀路,在售,16500,元/㎡起
利丰时代,[ 东部产业园 东坑 ] 骏达中路,在售,15000,元/㎡起
常平九里,[ 东部产业园 常平 ] 横塘路与常马路交汇处,待售,15125,元/m²
罗马景苑·逸景湾,[ 东部产业园 横沥 ] 中山东路1号,在售,18000,元/㎡
龙光玖龙玺,[ 滨海区 虎门 ] 东莞市虎门镇滨海大道与常德路交汇处（...,待售,24100,元/m²
凤岗四季花城,[ 东南临深区 凤岗 ] 永盛大街与凤观路交汇处（宇阳科技园旁...,待售,21118,元/m²
民盈·国贸中心,[ 中心城区 东城 ] 鸿福东路1号,待售,21283,元/m²
鲁能公馆项目,[ 松山湖区 茶山 ] 东莞轨道2号线茶山站出口，茶山北路辅...,待售,14000,元/㎡
碧桂园玫瑰臻园,[ 东部产业园 常平 ] 常平镇环常北路和从莞深高速交汇处,待售,15125,元/m²
伟隆国际花园二期,[ 松山湖区 茶山 ] 横江村环城路,在售,15500,元/㎡起
华堂九里,[ 东南临深区 塘厦 ] 东莞市塘厦镇迎宾大道,在售,22000,元/㎡
琥珀公馆,[ 滨海区 虎门 ] 连升路与虎门大道交汇处,在售,24000,元/㎡
V1公馆,[ 东部产业园 黄江 ] 黄江大道与公常路交汇处,在售,18000,元/㎡
保利珑远国际广场,[ 中心城区 南城 ] 三元路,在售,20000,元/㎡起
御城,[ 东南临深区 塘厦 ] 林村西荣路90号,在售,25000,元/㎡起
碧桂园中心,[ 中心城区 南城 ] 总部基地宏北路,在售,22000,元/㎡起
大健康E谷,[ 松山湖区 松山湖 ] 新城路中心公园北侧,待售,29500,元/m²
珑远翠珑湾,[ 松山湖区 寮步 ] 香市路,待售,21750,元/m²
泰禾新天地,[ 中心城区 东城 ] 东纵路,在售,16000,元/㎡起
东莞天安数码城,[ 中心城区 南城 ] 黄金路1号,在售,13000,元/㎡
滨海明珠,[ 滨海区 沙田 ] 东莞滨海湾新区威远岛旁（虎门长堤路左...,在售,[],元/㎡
万科大中江南院子,[ 滨海区 沙田 ] 东莞市滨海湾沿江高速沙田出口,在售,[],元/㎡
松湖悦府,[ 松山湖区 大朗 ] 东莞·松山湖CBD·华为南方基地旁（富...,在售,26000,元/㎡
松湖溪岸,[ 东部产业园 东坑 ] 中兴大道北,在售,16000,元/㎡
利丰中央公园,[ 松山湖区 石排 ] 中心路,在售,[],元/㎡
碧桂园兰亭,[ 水乡新城 道滘 ] 东莞·滨江西路（人民医院西侧2km）,在售,18500,元/㎡
丰泰湾区风华世家,[ 滨海区 虎门 ] 虎门高铁站旁滨海大道新泰路（新联）出...,在售,21000,元/㎡起
虎门滨海城,[ 滨海区 虎门 ] 新联高科一路与高科三路交汇处,在售,[],元/㎡起
清溪国际公馆,[ 东南临深区 清溪 ] 公园中路（清溪文化公园旁）,在售,17000,元/㎡起
碧桂园铂公馆,[ 中心城区 石碣 ] 明珠西路北面,在售,14500,元/㎡
嘉辉豪庭森镇,[ 东南临深区 凤岗 ] 大龙工业区嘉辉路47号,在售,[],元/㎡
丰华珑远翠珑湾,[ 中心城区 莞城 ] 东纵路,在售,29000,元/㎡起
卓越蔚蓝松湖,[ 东部产业园 东坑 ] 横东路,在售,15000,元/㎡
万科第五城,[ 中心城区 高埗 ] 东城中路与广场北路交界东南侧,在售,17200,元/㎡
金地柏悦府,[ 东莞周边 周边 ] 惠州市博罗县石湾镇,待售,9300,元/m²
万科东新翡翠松湖,[ 松山湖区 寮步 ] 松山湖大道，香市公园旁,在售,23000,元/㎡起
富盈香茶郡二期,[ 松山湖区 茶山 ] 沿溪路,在售,[],元/㎡起
和昌众筑·中央松湖,[ 东部产业园 东坑 ] 东坑大道南264号附近,在售,[],元/㎡起
融创玖玺台,[ 中心城区 南城 ] 东莞市南城区众利路66号,在售,[],元/㎡起
侨信云起,[ 东南临深区 塘厦 ] 大坪黎塘三路8号,在售,26000,元/㎡
沙田碧桂园,[ 滨海区 沙田 ] 沿河路，近滨江路,在售,18000,元/㎡起
虎门印象,[ 滨海区 虎门 ] 体育路,在售,20500,元/㎡
海逸豪庭,[ 滨海区 厚街 ] 湖景大道,在售,[],元/㎡
正中峰璟湾,[ 滨海区 长安 ] 霄边社区德政中路52号,在售,[],元/㎡
保利松湖18,[ 松山湖区 石排 ] 广东省东莞市生态园大道与祥和路交汇处,在售,[],元/㎡
碧桂园壹中心,[ 滨海区 虎门 ] 虎门大道与滨海大道交汇处,在售,24000,元/㎡
保利香槟颂,[ 东部产业园 桥头 ] 桥新路,在售,14000,元/㎡
宏远帝庭山,[ 东部产业园 桥头 ] 水口城路333号,在售,[],元/㎡
石排国际公馆,[ 松山湖区 石排 ] 锦绣路,在售,[],元/㎡
万科时富金色家园,[ 松山湖区 寮步 ] 东升路,在售,21500,元/㎡
金田花园花域,[ 东部产业园 常平 ] 谢常路,在售,[],元/㎡
君荟庭,[ 中心城区 东城 ] 东城街道环城路温塘段2号,在售,[],元/㎡
万科首铸东江之星,[ 中心城区 南城 ] 南城鸿福西路,在售,[],元/㎡
万科首铸翡翠东望,[ 中心城区 南城 ] 南城区建设路和运河东三路交界处,在售,550,万元/套起
奥园观澜誉峰,价格,待售,23000,元/m²
中惠悦湾,[ 中心城区 石碣 ] 昌兴路,待售,15831,元/m²
达鑫江滨新城,[ 中心城区 石碣 ] 北王公路,在售,18000,元/㎡起
佳兆业御龙山,[ 滨海区 虎门 ] 连升路,在售,24000,元/㎡
春风格拉斯,[ 东部产业园 东坑 ] 骏发路,在售,16000,元/㎡
中信红树山,[ 东部产业园 黄江 ] 公常路,在售,23000,元/㎡起
礼顿金御海湾,[ 滨海区 沙田 ] 渡轮路,在售,14500,元/㎡
松湖豪庭,[ 松山湖区 大朗 ] 升平路,在售,18000,元/㎡
丰华悦园,[ 松山湖区 松山湖 ] 松湖烟雨内,在售,34000,元/㎡
新世纪颐龙湾,[ 中心城区 高埗 ] 颐龙东路,在售,23000,元/㎡
帝景中央,[ 中心城区 南城 ] 绿色路,在售,35000,元/㎡起
富盈都市华府,[ 东部产业园 常平 ] 新城大道,在售,14500,元/㎡起
新壹城华府,[ 水乡新城 道滘 ] 广深高速道滘出口旁(振兴路与中心环路...,在售,16000,元/㎡
德洲城,[ 东南临深区 塘厦 ] 环村路北235号,在售,22000,元/㎡起
德盛尚峰,[ 松山湖区 茶山 ] 茶山北路辅路,待售,19500,元/m²
莲湖山庄,[ 松山湖区 大岭山 ] 莞长路,在售,900,万元/套起
汇星商业中心,[ 松山湖区 石龙 ] 中山东社区东升路18号,在售,13000,元/㎡
碧桂园天御湾,[ 水乡新城 洪梅 ] 迎宾大道高层西3号,在售,16500,元/㎡起
香樟1号,[ 东南临深区 樟木头 ] 西城路,在售,16000,元/㎡起
东城碧桂园,[ 中心城区 东城 ] 新兴路,在售,22000,元/㎡
保利领秀山,[ 东南临深区 樟木头 ] 樟木头大道,在售,21000,元/㎡起
大道松山湖,[ 松山湖区 寮步 ] 建新路68号,在售,17300,元/㎡起
融创清溪壹号,[ 东南临深区 清溪 ] 文秀路,在售,16500,元/㎡起
利丰时代,[ 东部产业园 东坑 ] 骏达中路,在售,15000,元/㎡起
常平九里,[ 东部产业园 常平 ] 横塘路与常马路交汇处,待售,15125,元/m²
班芙春天,[ 东部产业园 黄江 ] 公常路,在售,23000,元/㎡
时代倾城,[ 东部产业园 横沥 ] 中山西路323号,在售,16000,元/㎡
碧桂园中央公园,[ 东莞周边 周边 ] 惠州市博罗石湾科技大道北一路,待售,9500,元/㎡
罗马景苑·逸景湾,[ 东部产业园 横沥 ] 中山东路1号,在售,18000,元/㎡
龙光玖龙玺,[ 滨海区 虎门 ] 东莞市虎门镇滨海大道与常德路交汇处（...,待售,24100,元/m²
凤岗四季花城,[ 东南临深区 凤岗 ] 永盛大街与凤观路交汇处（宇阳科技园旁...,待售,21118,元/m²
卓越蔚蓝岸,[ 东南临深区 塘厦 ] 桥蛟东路67号,在售,21000,元/㎡起
民盈·国贸中心,[ 中心城区 东城 ] 鸿福东路1号,待售,21283,元/m²
鲁能公馆项目,[ 松山湖区 茶山 ] 东莞轨道2号线茶山站出口，茶山北路辅...,待售,14000,元/㎡
碧桂园玫瑰臻园,[ 东部产业园 常平 ] 常平镇环常北路和从莞深高速交汇处,待售,15125,元/m²
伟隆国际花园二期,[ 松山湖区 茶山 ] 横江村环城路,在售,15500,元/㎡起
华堂九里,[ 东南临深区 塘厦 ] 东莞市塘厦镇迎宾大道,在售,22000,元/㎡
琥珀公馆,[ 滨海区 虎门 ] 连升路与虎门大道交汇处,在售,24000,元/㎡
思朗广场,[ 中心城区 南城 ] 东二路,在售,22000,元/㎡
万科首铸东江1号,[ 中心城区 南城 ] （R1线滨江体育馆站上盖）,在售,17000,元/㎡
碧桂园苹果,[ 中心城区 东城 ] 环城东路,在售,11000,元/㎡起
V1公馆,[ 东部产业园 黄江 ] 黄江大道与公常路交汇处,在售,18000,元/㎡
保利珑远国际广场,[ 中心城区 南城 ] 三元路,在售,20000,元/㎡起
御城,[ 东南临深区 塘厦 ] 林村西荣路90号,在售,25000,元/㎡起
正中峰璟湾公寓,[ 滨海区 长安 ] 霄边社区德政中路52号,在售,26000,元/㎡
碧桂园中心,[ 中心城区 南城 ] 总部基地宏北路,在售,22000,元/㎡起
大健康E谷,[ 松山湖区 松山湖 ] 新城路中心公园北侧,待售,29500,元/m²
福禧大厦,[ 中心城区 莞城 ] 可园南路33号,在售,13000,元/㎡
珑远翠珑湾,[ 松山湖区 寮步 ] 香市路,待售,21750,元/m²
泰禾新天地,[ 中心城区 东城 ] 东纵路,在售,16000,元/㎡起
酷派天安云谷项目,[ 松山湖区 松山湖 ] 高新技术开发区工业南路14号ID创意中心,待售,29500,元/m²
东莞天安数码城,[ 中心城区 南城 ] 黄金路1号,在售,13000,元/㎡
格兰名筑,[ 中心城区 东城 ] 东城中路422号,在售,24000,元/㎡起
富盈小时代,[ 水乡新城 麻涌 ] 长岭路,在售,13500,元/㎡
曼诺商业广场,[ 东部产业园 常平 ] 常东路,在售,14000,元/㎡起
里岸,[ 水乡新城 道滘 ] 道滘轻轨站南约600米,待售,17133,元/m²
中海莞府,[ 中心城区 东城 ] 八一路与莞长路交汇处西南侧,待售,30000,元/㎡
腾龙名轩,[ 松山湖区 石龙 ] 裕发街2号（石龙二中正对面）,在售,15500,元/㎡起
湖景壹号庄园二期,[ 滨海区 厚街 ] 湖景大道,在售,1800,万元/套起
新世纪上河居,[ 水乡新城 道滘 ] 港口大道,在售,15500,元/㎡
棕榈泉六期星光天地,价格,在售,18500,元/㎡
鼎峰源著,[ 中心城区 南城 ] 板岭路,在售,840,万元/套起
东田翠湖湾二期,[ 东部产业园 常平 ] 公园路,在售,16500,元/㎡
丰泰观山碧水,[ 滨海区 厚街 ] 横岗水库一侧,待售,21424,元/m²
霖峰壹山境,[ 东部产业园 黄江 ] 公常路,在售,23000,元/㎡起
汇景城市中心,[ 东南临深区 樟木头 ] 莞樟东路,在售,14000,元/㎡
星汇翠峰,[ 东部产业园 谢岗 ] 杏花村（宝湖路东）,在售,400,万元/套起
三正瑞士公馆,[ 东南临深区 凤岗 ] 怡安中路,在售,28000,元/㎡
华讯大宅,[ 松山湖区 石龙 ] 欧仙路8号,在售,15000,元/㎡
金地湖山大境,[ 东部产业园 黄江 ] 公常路,在售,850,万元/套
