house_name,house_location,house_status,house_price,price_unit
东原旭辉璞阅,[ 萧山 萧山新城 ] 通惠南路与晨晖路口,在售,25800,元/㎡
融信远洋厘望NEO1,价格,待售,37382,元/m²
东南钱江蓝湾,"[ 萧山 钱江世纪城 ] 水博大道,近经十一路",待售,26000,元/㎡
绿城华景川之江明月,[ 杭州周边 其他 ] 海宁高新区聆涛路与海河路路口,在售,20000,元/㎡起
绿城和庐,[ 余杭 小和山 ] 小和山里东路39号,在售,53511,元/㎡
新希望滨江锦粼府,[ 萧山 萧山新城 ] 建设一路与通惠路交汇处东侧,在售,28201,元/㎡
中梁云都汇,[ 之江 之江 ] 转塘街道科海路与贤家弄交叉口东北侧,待售,33735,元/㎡
北大资源颐和江南,[ 余杭 良渚 ] 东至杜文路，南至下门坝港、西至良祥路...,在售,28000,元/㎡
融创江南壹号院,[ 萧山 钱江世纪城 ] 竞潮路与萧清大道交叉口（惠立中学旁）,在售,28300,元/㎡
瑞城熙园,[ 余杭 西溪 ] 杭州市余杭区运溪路121号瑞城花园,在售,37017,元/㎡
融信万科古翠隐秀,[ 拱墅 申花 ] 杭州市文教区登云路与隐秀路交叉口,待售,54000,元/㎡
随塘,[ 余杭 塘栖 ] 运溪东路北圆满路西,待售,19631,元/㎡
蓝光雍锦王府,[ 杭州周边 其他 ] 诸暨市中央路与中锐路交叉口向南15米,在售,8000,元/㎡
新界2020,[ 富阳 富阳 ] 金桥北路与高桥西路交叉口往东200米/6...,待售,16700,元/m²
绿城·柳岸晓风,[ 杭州周边 其他 ] 安吉县递铺街道阳光大道西段380号,在售,9000,元/㎡起
融创莫干溪谷,[ 杭州周边 其他 ] 郭肇村,待售,28233,元/㎡
绿地亚洲公园,[ 临安 临安 ] 科技大道，轻轨5号线延伸段青山湖站口...,待售,18120,元/m²
山水时代,[ 萧山 钱江世纪城 ] 市心北路与奔竞大道交叉口,在售,35000,元/㎡
银润蓝城天使小镇·陌上花开,[ 杭州周边 其他 ] 安吉县昌硕街道天使大道,在售,18000,元/㎡起
金成英特尔湾,[ 余杭 仓前 ] 未来科技城狮山路与直街交叉路口,待售,24000,元/㎡
天城府·天著,[ 江干 城东新城 ] 石桥路与新风路交叉口,在售,34771,元/㎡
宝龙旭辉城,[ 临安 临安 ] 科技城科技大道与大园路交叉口,待售,18120,元/m²
美好锦玺,[ 临安 临安 ] 天屹路与吴越大街交叉口,待售,18245,元/m²
钱塘ONE,[ 之江 之江 ] 之江国家旅游度假区枫桦东路与梧桐路交...,在售,28000,元/㎡起
杭房城发御东方,[ 江干 丁桥 ] 三义路和长睦路交叉口,待售,27689,元/m²
旭辉东原国滨府,[ 萧山 萧山新城 ] 金城路与通惠路交汇处(余暨公园里),在售,32000,元/㎡
旭辉中粮朗香郡,[ 临安 临安 ] 天柱街与崇文路交汇处,在售,15188,元/㎡起
绿城桂语钱塘,[ 杭州周边 其他 ] 下沙北之江北路与创智路路口,待售,23000,元/㎡
杭州泰禾中央广场,[ 西湖 西溪 ] 余杭塘路与枫树路交汇处,在售,38000,元/㎡起
远洋湖映宸章,[ 杭州周边 其他 ] 海宁市人民大道和景德路交叉口（龙渡湖...,在售,16000,元/㎡
越秀湖山悦,[ 临安 临安 ] 钱锦大道与望湖路交叉口向南300米,在售,18000,元/㎡
新城璟隽公馆,[ 萧山 萧山新城 ] 建设一路与通惠路交叉口向东约100米,在售,249,万元/套起
杭州江山风华,[ 余杭 临平 ] 望梅路与宏达路交汇处,在售,160,万元/套起
潮闻天下,[ 萧山 江东新城 ] 观十五线（观潮城旁）,在售,500,万元/套
保利滨江上品,[ 上城 钱江新城 ] 甬江路与银鼓路交叉口,在售,69800,元/㎡
金地玖峯汇,[ 江干 九堡 ] 杭海路与九福路交叉口东北,在售,33971,元/㎡
侨福明园,[ 余杭 临平 ] 新城路与临东路交汇处向南150米路东,在售,24100,元/㎡
中梁德清壹号院,[ 杭州周边 其他 ] 德清县春晖街与志远南路交叉口,在售,15000,元/㎡
路劲远洋江南院子,[ 余杭 崇贤 ] 余杭区崇贤新城尚贤路北（崇贤中学东侧...,在售,400,万元/套起
九龙仓雍景山,"[ 富阳 富阳 ] 闲祝线,施贤线",在售,210,万元/套起
华景川万科潮起东方,[ 杭州周边 其他 ] 高新区栋梁路东南启潮路西北侧,在售,21500,元/㎡
万科玖望,[ 富阳 富阳 ] 杭州市富阳区高尔夫路与江滨东大道交叉...,在售,139,万元/套
越秀西海岸,[ 临安 临安 ] 青山湖科技城唐塍街与星港路交叉口,在售,16500,元/㎡
金辉江山云著,[ 余杭 临平 ] 天万路与杭乔路交叉口,在售,26189,元/㎡
滨江碧桂园翡翠江南,[ 萧山 钱江世纪城 ] 利华路与生兴路交叉口,在售,35000,元/㎡
中旅名门府,[ 萧山 萧山新城 ] 建设一路与宁税路交叉口,在售,33500,元/㎡
旭辉东原吴越府,[ 临安 临安 ] 万马路与福兴街交叉口,在售,26434,元/㎡
龙湖春江天越,[ 下沙 大学城北 ] 下沙凌云街与千帆路交叉口,在售,28500,元/㎡
天阳蓝光蔚蓝,[ 临安 临安 ] 青山湖科技城大园路与天柱街交汇处西北...,在售,18800,元/㎡
湖滨外滩,[ 临安 临安 ] 滨湖新区阿里山大酒店东面,在售,17000,元/㎡起
风荷锦庭,[ 萧山 闻堰 ] 义桥镇新峡路油虎线交叉口,待售,18605,元/m²
绿地海湾,[ 杭州周边 宁波杭州湾新区 ] 金源大道和滨海七路交汇处,在售,13200,元/㎡
安吉和乐小镇,[ 杭州周边 其他 ] 梅灵线,在售,14000,元/㎡
碧桂园中梁凤鸣公馆,[ 临安 临安 ] 锦城街道钱王街和锦天路交叉口西侧约2...,在售,16200,元/㎡
融信杭州世纪,[ 萧山 萧山新城 ] 市心北路与建设一路交汇处东约200米,在售,38300,元/㎡
融创宜和园,"[ 拱墅 申花 ] 登云路,近莫干山路",在售,98000,元/㎡
融信旭辉湘湖悦章,[ 萧山 湘湖 ] 风情大道和南四路交叉口往东500米,在售,25200,元/㎡
荣安柳岸闻莺,价格,在售,19000,元/㎡
碧桂园海上传奇,[ 杭州周边 宁波杭州湾新区 ] 杭州湾大道和滨海六路交叉口西北角,在售,11000,元/㎡
佳源优樾,[ 临安 临安 ] 锦城街道吴越街与临天路交界处,在售,16900,元/㎡
和家园臻园,[ 西湖 西溪 ] 杨梅山路,在售,45000,元/㎡
龙湖金地商置都会风华,[ 江干 城东新城 ] 明月桥路与天城路交叉口,在售,45800,元/㎡
招商越秀公园1872,[ 江干 城东新城 ] 建华路与五号港路交叉口,待售,39520,元/m²
祥生东方樾,[ 杭州周边 其他 ] 安吉县安吉大道与绕城东路交叉口往北1...,在售,11000,元/㎡起
万城杭宁府,[ 杭州周边 其他 ] 海宁新城路与临东路交叉口（余之城东）,在售,23000,元/㎡
龙湖江与城,[ 萧山 江东新城 ] 青六路与江东大道交叉口往北,待售,16615,元/m²
龙湖大家九龙仓璟宸府,[ 江干 城东新城 ] 秋石高架与德胜高架交叉口东,在售,40800,元/㎡
易辰江南大院,[ 临安 临安 ] 科技大道,在售,15056,元/㎡
东城金茂府,[ 江干 城东新城 ] 源聚路与明石路交汇处,待售,50000,元/㎡
新天地金色时光,[ 江干 城东新城 ] 德胜路与石桥路交汇处东南方向,在售,34808,元/㎡
银城云谷天境,[ 西湖 其他 ] 西湖区庄墩路与茹家街交叉口,待售,32000,元/㎡
绿城建发沁园,[ 拱墅 申花 ] 丰潭路与申花路交叉口西南100米,待售,55000,元/㎡
融创金成十锦台,[ 临安 临安 ] 锦北街道马溪路与西墅街交汇处,在售,21000,元/㎡
国开东方凤凰台,[ 余杭 老余杭 ] 杭州市余杭区禹航路181号,在售,29500,元/㎡
德信大家·时代公馆,[ 杭州周边 其他 ] 德清县中兴路与塔山街交叉口（联合国地...,在售,21500,元/㎡
杭州桃李春风,[ 临安 临安 ] 科技大道,在售,25500,元/㎡起
三湘印象森林海尚,[ 江干 城东新城 ] 源聚路和白石庙路交汇处,在售,46000,元/㎡
保亿湘湖和院,[ 萧山 湘湖 ] 亚太路与大湾路交叉口东500米,在售,26000,元/㎡
阳光城翡丽海岸,[ 富阳 富阳 ] 江滨东大道,在售,18700,元/㎡
金科碧桂园博翠府,[ 拱墅 其他 ] 运河新城顾扬路与郁世门街交叉口,在售,30147,元/㎡
成龙官山邸,"[ 临安 临安 ] 钱王街,近望湖路",在售,480,万元/套起
中天珺府,[ 临安 临安 ] 科技大道2988号,待售,18120,元/m²
禹洲滨天地,[ 之江 之江 ] 枫桦东路辅路,在售,21000,元/㎡起
阳光城未来悦MAX,[ 余杭 仓前 ] 文二西路绿汀路交叉口,待售,37000,元/㎡
恒大御泉四季,[ 建德市 建德 ] 寿昌镇寿童南路与320国道交汇处,在售,8300,元/㎡起
中梁申花百悦公馆,[ 拱墅 申花 ] 莫干山路与规划飞虹路交叉口，汽车北站...,待售,31400,元/m²
大家栖溪,[ 临安 临安 ] 锦北街道苕溪北街与农林大路交叉口,在售,17300,元/㎡
碧桂园玖晟府,[ 临安 临安 ] 锦南新城文体中心旁（流霞街与双拥路交...,在售,16800,元/㎡
中城汇MIDTOWN,[ 拱墅 其他 ] 石祥路与杭行路交叉口，杭州国际会展中...,在售,40000,元/㎡
京港国际中心,[ 萧山 钱江世纪城 ] 市心北路和皓月路交叉口,在售,33000,元/㎡
融创金成江南府,[ 余杭 闲林 ] 天目山西路与上和路交叉口南,在售,22300,元/㎡
临安宝龙广场,[ 临安 临安 ] 武肃街与农林大路交汇处（原环城北路与...,在售,16500,元/㎡
新湖菲林山,[ 余杭 仓前 ] 上仓路,在售,27000,元/㎡
绿城桃源小镇,[ 余杭 闲林 ] 闲沈路,在售,320,万元/套起
金隅中铁诺德都会森林,[ 江干 钱江新城 ] 艮山西路与钱潮路交汇处,在售,59000,元/㎡
西房拱宸外滩,[ 余杭 崇贤 ] 崇贤街道崇杭街与崇昌路交叉口西南角,在售,33500,元/㎡
世茂钱塘天誉,[ 江干 城东新城 ] 机场路与德胜东路交叉口,在售,46500,元/㎡
碧桂园凤凰府,"[ 杭州周边 其他 ] 安吉大道,近三友路",在售,11500,元/㎡
德信浙旅天空之翼,[ 萧山 空港新城 ] 东至南阳大道，南至港城大道，西至南庄...,在售,21350,元/㎡
前湾国际社区,[ 萧山 钱江世纪城 ] 竞潮路与纬九路交叉口,在售,28500,元/㎡
蓝城春风燕语,[ 临安 临安 ] 崇文路2099号,在售,22000,元/㎡起
星耀中心,[ 滨江 长河 ] 滨和路598号,在售,45000,元/㎡
蓝光雍锦湾,[ 杭州周边 宁波杭州湾新区 ] 杭州湾新区滨海大道与兴慈一路交叉口,在售,9000,元/㎡起
万科西望,[ 临安 临安 ] 马溪路和北排街交叉口,待售,18401,元/m²
中海云宸,[ 滨江 长河 ] 杭州市滨江区时代大道与滨康路交汇处,待售,41793,元/m²
万科大溪谷,[ 余杭 良渚 ] 余杭东西大道运溪路路段七贤郡西侧约6...,待售,33000,元/m²
中骏柏景湾,[ 临安 临安 ] 钱王大街与望湖路交汇处（望湖公园旁）,在售,18000,元/㎡
复地壹中心,[ 拱墅 桥西 ] 莫干山路与育英路交叉口,在售,27000,元/㎡
滨湖天地,[ 临安 临安 ] 长桥路,在售,17500,元/㎡起
融创杭州湾壹号,[ 杭州周边 宁波杭州湾新区 ] 东至规划兴天路，南至规划路，西至规划...,在售,12000,元/㎡
越秀招商天悦江湾,[ 江干 城东新城 ] 三官塘路与建华路交叉口（一号线七堡地...,在售,40000,元/㎡
春天学府,[ 临安 临安 ] 城中街与锦天路交叉口西南侧（临安人民...,在售,18000,元/㎡起
朗诗枫荟,[ 余杭 临平 ] 兴国路与北沙西路交汇西南侧,在售,16000,元/㎡起
金都夏宫,"[ 余杭 临平 ] 北沙西路,近星河路",在售,35000,元/㎡
