house_name,house_location,house_status,house_price,price_unit
万科蔚蓝城市,[ 镇海 镇海 ] 陈倪路东侧，聚兴路南侧，陈倪河西侧，...,待售,23008,元/㎡
湖畔樾山,价格,待售,14000,元/㎡
保亿·未来风景里,[ 奉化 奉化 ] 汇城中路与顺浦路交叉口（在建）,待售,12275,元/m²
海语天下,[ 海曙 海曙 ] 丽园南路与南苑街交汇处,待售,35000,元/㎡
融创涌宁府,[ 鄞州 鄞州 ] 鄞县大道与天工路交汇处,在售,35000,元/㎡
绿地海湾,"[ 杭州湾新区 杭州湾新区 ] 海达路,近金源大道",在售,13000,元/㎡
海曙万科印,[ 海曙 海曙 ] 中山西路与梁祝路交叉口,在售,23800,元/㎡
绿地观堂,[ 海曙 海曙 ] 包家路,在售,19500,元/㎡起
中旅城,"[ 江北 江北 ] 长兴路,近银海路",待售,18000,元/㎡
万科未来水岸,[ 奉化 奉化 ] 四明东路与汇诚路（在建中）交叉口,在售,12000,元/㎡
中国铁建青秀澜湾,[ 江北 江北 ] 环城北路,在售,30000,元/㎡
悦江湾,[ 海曙 海曙 ] 鄞奉路与尹江路交界处,在售,28000,元/㎡
海曙金茂府,[ 海曙 海曙 ] 丽园南路与新典路交叉口,在售,33000,元/㎡
蓝光雍锦湾,[ 杭州湾新区 杭州湾新区 ] 滨海大道与兴慈一路交叉口,在售,9500,元/㎡
云堇台,[ 鄞州 鄞州 ] 鄞县大道与启明南路交汇处,待售,27994,元/m²
大爱书院小镇,[ 奉化 奉化 ] 溪口镇·状元岙村,待售,12573,元/m²
龙湖双珑原著,[ 江北 江北 ] 慈城塘家湾路与慈孝北路交汇处,待售,17000,元/㎡
金隅大成郡,[ 高新区 高新区 ] 腊梅路与翔云路交汇处,在售,29500,元/㎡
奥园誉山湖,[ 慈溪 慈溪 ] 桃园中路与规划一路交汇处,待售,11559,元/m²
月湖天第,[ 海曙 海曙 ] 三市街与长春路交叉口西南侧,在售,33000,元/㎡
中海枫桥里,[ 江北 江北 ] 天沁路与李家西路交汇处,在售,23000,元/㎡
滨江诺德学府,[ 奉化 奉化 ] 四明西路和潭头路交汇处,在售,9500,元/㎡
绿城·雲栖里,[ 象山 象山 ] 松兰山景区内,待售,10207,元/m²
景瑞兴宁府,[ 鄞州 鄞州 ] 兴宁路与沧海路交汇处,在售,29500,元/㎡
保利·天悦,[ 海曙 海曙 ] 机场路与沁园路交汇处（海曙文体中心旁...,在售,32000,元/㎡
北宸府,[ 海曙 海曙 ] 鄞奉路和南苑路交汇处,在售,31000,元/㎡
荣安西溪里,[ 海曙 海曙 ] 集士港联丰路与广蔺路交汇处,在售,21000,元/㎡
瀚宁府,[ 镇海 镇海 ] 中官路与逸夫路交汇处,在售,[],元/㎡
万科未来广场,[ 北仑 北仑 ] 小港泰山西路与小浃江路交叉口,在售,160,万元/套起
中海学仕里,[ 鄞州 鄞州 ] 前河南路与鄞州大道交汇处,在售,29000,元/㎡
碧桂园中南海上传奇,[ 杭州湾新区 杭州湾新区 ] 杭州湾大道和滨海六路交叉口,在售,11000,元/㎡
中南漫悦湾,[ 北仑 北仑 ] 小港季景路与香山路交汇处,在售,17500,元/㎡
景瑞天赋姚江,[ 江北 江北 ] 洪祥西路（海德花苑北侧）,在售,17800,元/㎡
慈城金茂逸墅,[ 江北 江北 ] 慈城湖心居住区义山路与彩云路交叉口（...,在售,13500,元/㎡
未来道,[ 鄞州 鄞州 ] 永达路现代商城东侧（3号线仇毕站  在...,待售,27994,元/m²
雅戈尔江上,[ 海曙 海曙 ] 鄞县大道西段1号,在售,29000,元/㎡
万科白石湖东,[ 鄞州 鄞州 ] 东钱湖白石仙坪,在售,20000,元/㎡
宝龙TOD奉甬新城,[ 奉化 奉化 ] 岳林街道金海路与东环路交叉口,待售,12275,元/m²
中南锦悦府,[ 北仑 北仑 ] 小港中机路和联合路交汇处,在售,13500,元/㎡
卓越蔚蓝海岸,[ 杭州湾新区 杭州湾新区 ] 东邻规划九路、规划六路，南至规划十九...,在售,11000,元/㎡
新悦府,[ 余姚 余姚 ] 西环北路1286号,在售,10500,元/㎡
龙湖·九里晴川,[ 慈溪 慈溪 ] 龙山新城天叙路与观蜃路交叉口,待售,11559,元/m²
万科未来之光,[ 北仑 北仑 ] 小港季景路与黄山路交叉口,在售,17800,元/㎡
堇天府,"[ 鄞州 鄞州 ] 鄞州大道,近钱湖南路",在售,27000,元/㎡
印东方,[ 北仑 北仑 ] 太河路与恒山路交叉口,在售,27000,元/㎡
紫宸府,[ 余姚 余姚 ] 中山北路与北环东路交叉口,在售,12000,元/㎡
上湖城章,[ 鄞州 鄞州 ] 东部新城宁东路与盛莫路交叉口,在售,35000,元/㎡
弘润中鑫广场,[ 余姚 余姚 ] 马渚镇东一路与东二路交叉口向东100米,在售,7000,元/㎡
锦尚府,[ 慈溪 慈溪 ] 青少年宫北路与科技路交会处,待售,11932,元/㎡
阳光城君望府,[ 海曙 海曙 ] 鄞县大道与横街南路交叉口,在售,14000,元/㎡
云都会府,[ 余姚 余姚 ] 凤山街道中山北路与站北路交汇处（高铁...,在售,9250,元/㎡
世茂中南璀璨云堤,[ 镇海 镇海 ] 镇海新城慈海南路与永平四路交汇处（四...,在售,18000,元/㎡
华侨城万科欢乐海岸,[ 鄞州 鄞州 ] 鄞县大道,在售,31000,元/㎡
北仑新凯旋,[ 北仑 北仑 ] 新碶街道明州西路和凤洋二路交汇处,待售,25000,元/㎡
恒银铂悦,[ 鄞州 鄞州 ] 泰安西路与宁南南路交叉口,在售,16000,元/㎡
融创杭州湾壹号,[ 杭州湾新区 杭州湾新区 ] 杭州湾大道和滨海六路交叉口东北角,在售,12500,元/㎡
桃李一品,[ 奉化 奉化 ] 溪口岭下,在售,20000,元/㎡
祥生蓝光云山新语,[ 奉化 奉化 ] 南山路185号（仁湖公园旁）,在售,12600,元/㎡
中昂姚江府,[ 余姚 余姚 ] 泗门镇汝湖路与双周路交汇处,在售,8500,元/㎡
山语江院,价格,在售,13000,元/㎡
美的蝴蝶海,[ 北仑 北仑 ] 梅山海润路66号,在售,9200,元/㎡起
雅戈尔新长岛,[ 江北 江北 ] 天沁路与宁慈东路交汇处,在售,24000,元/㎡
