house_name,house_location,house_status,house_price,price_unit
朗诗玲珑郡,[ 江宁 上坊 ] 东山街道天环路以北、天佑路以西,待售,25656,元/m²
紫悦府,价格,在售,9500,元/㎡
苏宁钟山朝阳府,[ 玄武 钟山景区 ] 玄武大道,在售,31405,元/㎡起
保利金地贝克湾,[ 江宁 科学园 ] 淳化街道端拱路与至道路交汇处,在售,26800,元/㎡
和峰南岸,[ 雨花台 铁心桥 ] 岱山中路与岱山北路交汇处,待售,30128,元/m²
美的雍翠园,[ 江宁 横溪 ] 吴楚西路与横云北路交叉口,待售,17000,元/㎡
南京恒大养生谷,[ 六合 金牛湖 ] 金牛湖南侧,在售,11500,元/㎡
21世纪太阳城银座,[ 江宁 百家湖 ] 双龙大道1539号,在售,23600,元/㎡起
保利云禧,[ 浦口 江浦街道 ] 建设路与巩固路交汇处（地铁10号线雨山...,在售,26062,元/㎡起
江宁金茂悦,[ 江宁 上坊 ] 东山街道万安西路和新润路交汇处,在售,24291,元/㎡
碧桂园凤凰城,[ 南京周边 句容 ] 碧桂园大道2号,在售,11800,元/㎡
熙悦,[ 江宁 麒麟科技园 ] 沧麒东路与南湾营路交汇处,在售,28900,元/㎡
石林云城,[ 雨花台 板桥 ] 雨花开发区凤集大道6号,在售,25000,元/㎡
珑悦,[ 江宁 麒麟科技园 ] 四望路88号,在售,27000,元/㎡
绿地理想城,[ 江宁 禄口 ] 正方中路,在售,23000,元/㎡
星河天赋,[ 玄武 红山 ] 恒嘉路18号,待售,38000,元/㎡
蓝光黑钻公馆,[ 江宁 麒麟科技园 ] 天和路,在售,26000,元/㎡
五矿澜悦方山,[ 江宁 大学城 ] 高新园学十二路以南、务实路以东,在售,26500,元/㎡
悦江府,[ 浦口 江浦街道 ] 珠泉西路与江淼路交汇处,待售,23203,元/m²
招商正荣东望府,[ 江宁 麒麟科技园 ] 九乡河东路与四望路交汇处（南大和园向...,在售,27000,元/㎡
荣盛鹭岛荣府,[ 六合 龙池 ] 龙群路,在售,12069,元/㎡
葛洲坝融创南京紫郡府,[ 江宁 九龙湖 ] 双龙大道以东、云台山河路以北,在售,30500,元/㎡
融信世纪东方,[ 栖霞 仙林 ] 经天路与广志路交汇处（南京大学仙林分...,待售,32000,元/㎡
高淳雅居乐花园,[ 高淳 高淳 ] 双高路15号,在售,8000,元/㎡
升龙桃花园著,[ 建邺 江心洲 ] 建邺江心洲夹江大桥与葡园路交汇处,在售,35848,元/㎡
中国铁建青秀城,[ 栖霞 晓庄 ] 迈尧路328号,在售,29300,元/㎡
银城旭辉云臺天境,[ 江宁 九龙湖 ] 苏源大道以东、云台山河路以北,在售,29000,元/㎡
远洋山水,[ 江宁 正方新城 ] 秣周西路33号,在售,18200,元/㎡
星叶枫庭,[ 江宁 麒麟科技园 ] 江宁区麒麟街道宁杭公路以南、镇泰路以...,在售,28000,元/㎡
明发阅山悦府,[ 浦口 江浦街道 ] 沿山大道,在售,28041,元/㎡起
高科紫微堂,[ 栖霞 仙林 ] 仙林大道与经天路交汇处（经天路地铁站...,在售,42000,元/㎡
星叶瑜憬湾,[ 栖霞 迈皋桥 ] 网板路8号,在售,26661,元/㎡起
万达茂,[ 栖霞 仙林 ] 守敬路,在售,14800,元/㎡起
兴茂国际旅游度假区,[ 南京周边 滁州 ] 汊河镇相关行政村104线街188号,在售,8000,元/㎡
时代天樾,[ 江宁 东山 ] 东山街道永胜路18号,在售,26000,元/㎡
新保弘天宸,[ 江宁 麒麟科技园 ] 启迪大街与智通路交汇处,待售,25600,元/m²
绿城云栖玫瑰园,[ 雨花台 铁心桥 ] 善桥街道单家村街与岱山南路交汇处,待售,28587,元/m²
苏宁北外滩水城,[ 浦口 桥北 ] 浦洲路66号,在售,20599,元/㎡
中南上悦城,[ 江宁 上坊 ] 上高路与万安北路交汇处,待售,27226,元/m²
弘阳燕澜七缙,[ 浦口 高新区 ] 新沿路,在售,26128,元/㎡
荣盛锦绣澜山,[ 浦口 高新区 ] 新沿路与江北大道交汇处,在售,22418,元/㎡
世茂天誉,[ 建邺 河西中部 ] 江东中路与集庆门大街交界处,在售,45000,元/㎡
东屏湖9号,[ 溧水 溧水 ] 金山东路9号,在售,8888,元/㎡起
中垠紫金观邸,[ 栖霞 马群 ] 中山门大街698号,在售,21500,元/㎡
融信城市之窗,[ 江宁 九龙湖 ] 双龙大道与吉印大道交汇处,待售,26050,元/m²
保利荣盛合悦,[ 六合 龙池 ] 江北大道快速路与龙华东路的交汇处,在售,15199,元/㎡
电建地产海赋尚城,[ 栖霞 燕子矶 ] 燕尧路12号,在售,25800,元/㎡
葛洲坝招商紫郡蘭园,[ 鼓楼 小市 ] 和燕路49号,待售,28950,元/m²
碧桂园伯爵台,"[ 南京周边 句容 ] 玉兰路,近仙林东路",在售,16000,元/㎡
紫辉时代广场,[ 建邺 河西中部 ] 江东中路198号,在售,42500,元/㎡
升龙河西公馆,"[ 建邺 河西南部 ] 江东南路,近庐山路",在售,32000,元/㎡起
雅居乐滨江国际,[ 浦口 江浦街道 ] 天浦路96号,在售,27800,元/㎡
南京建邺吾悦广场,[ 建邺 河西中部 ] 江东中路与江东门北街交汇处,在售,29800,元/㎡
融侨观邸,[ 浦口 江浦街道 ] 海院路88号,在售,25500,元/㎡
绿地云尚,"[ 雨花台 南京南站 ] 软件大道,玉兰路",在售,23000,元/㎡
句容恒大文化旅游城,[ 南京周边 句容 ] 宝华山路和容城大道交叉口,在售,11000,元/㎡
禹洲中粮都会09,[ 溧水 溧水 ] 永阳镇机场路与石燕路（规划）交汇处,在售,11400,元/㎡
融侨观澜,[ 江宁 东山 ] 江宁区东山街道天赐路以南、万安北路以...,在售,25600,元/㎡
东城金茂悦Ⅱ期,[ 江宁 东山 ] 东山街道天环路以北、环镇东路以西,在售,24490,元/㎡
郦湖美墅,[ 六合 马鞍街道 ] 弘湖路1号,在售,11080,元/㎡起
银城颐居悦见山,[ 浦口 江浦街道 ] 白马路东侧、海都路西侧地块,待售,23203,元/m²
固城湖金茂逸墅,价格,在售,11800,元/㎡
仙林首望城,[ 南京周边 句容 ] 仙林东路3号,在售,14500,元/㎡
碧桂园奥能罗马世纪城,[ 南京周边 滁州 ] 前进路99号,在售,5600,元/㎡
云树公馆,"[ 雨花台 南京南站 ] 明城大道,近丁墙路",在售,23000,元/㎡
冠城大通蓝郡,[ 六合 龙池 ] 雄州南路333号,在售,13800,元/㎡
明发财富中心,[ 浦口 江浦街道 ] 浦口大道6号,在售,17000,元/㎡
泰禾金尊府,[ 南京周边 句容 ] 仙林东路与和平路交汇处向南200米,在售,19000,元/㎡起
碧桂园欧洲城,[ 南京周边 滁州 ] 滁宁大道2888号,在售,7800,元/㎡
碧桂园大学印象,"[ 南京周边 句容 ] 宝华大道,近西部干线",在售,15500,元/㎡
新江北孔雀城,"[ 南京周边 滁州 ] 104国道,近020乡道",在售,10000,元/㎡
东原亲山,[ 南京周边 句容 ] 西部干线,在售,19000,元/㎡起
明发江湾新城,[ 南京周边 其他 ] 南宁乌公路,在售,8000,元/㎡起
花样年家天下,[ 溧水 溧水 ] 宝塔北路与机场路交汇处,在售,12000,元/㎡
碧桂园如山湖城,[ 南京周边 其他 ] 安徽和县石杨镇如山湖西侧（宁乌和滁乌...,在售,4000,元/㎡起
浦泰和天下,[ 浦口 桥北 ] 南浦路,在售,20988,元/㎡
江畔国际,[ 浦口 桥北 ] 大桥北路20号（大桥北路与江山路交汇处...,在售,25130,元/㎡
保利堂悦,"[ 秦淮 卡子门 ] 卡子门大街,近汇景北路",在售,25000,元/㎡起
金地保利悦风华,[ 浦口 江浦街道 ] 环北路南侧、江淼路北侧地块,在售,27629,元/㎡起
中建国熙台,[ 浦口 江浦街道 ] 康华路,在售,29712,元/㎡起
锦隆花园•御山墅,[ 南京周边 句容 ] 宝华镇312国道北,在售,18500,元/㎡
东方万汇城,[ 浦口 江浦街道 ] 浦口大道,在售,17000,元/㎡
中海城南公馆,[ 雨花台 铁心桥 ] S3号线贾西站,待售,34500,元/㎡
万象天地,[ 栖霞 燕子矶 ] 栖霞大道北、经五路两侧,在售,22500,元/㎡
深业滨江半岛,[ 鼓楼 鼓楼滨江 ] 龙江路30号,在售,38780,元/㎡
珑翠芳庭,[ 六合 雄州 ] 机场东路,待售,14649,元/m²
大华锦绣时代,[ 浦口 桥北 ] 沿江街道浦洲路与南浦路交叉处,在售,22011,元/㎡
中海燕矶听潮,[ 栖霞 燕子矶 ] 燕子矶街道太新路46号地块,在售,28400,元/㎡
阳光帝景,[ 浦口 顶山街道 ] 吉庆路6号,待售,23000,元/m²
金隅紫京叠院,[ 浦口 江浦街道 ] 黄山岭路与狮山路交汇处,在售,29750,元/㎡
山河水,[ 浦口 老山珍珠泉 ] 假日路8号（宁合高速汤泉镇出口）,在售,20971,元/㎡起
武夷凌云公馆,[ 江宁 岔路口 ] 宏运大道1818号,在售,26280,元/㎡
银城孔雀城依澜郡,[ 南京周边 马鞍山 ] 桥林南乌江S105与茆庄路交汇处,在售,7500,元/㎡
明发北站中心,[ 南京周边 滁州 ] 汊河104国道与黄文路交汇处,在售,9000,元/㎡
碧桂园翡翠华府,[ 南京周边 句容 ] 宝四路9号,在售,16900,元/㎡
君兰苑,[ 溧水 溧水 ] 高山路1号,在售,8800,元/㎡
卧龙湖小镇,[ 溧水 溧水 ] 卧龙湖大道1号,在售,12113,元/㎡
明发湖光山色,[ 南京周边 马鞍山 ] 香泉温泉度假村温泉大道1号,在售,5500,元/㎡起
