house_name,house_location,house_status,house_price,price_unit
奥园首府壹号,[ 胶州市 新城 ] 北京路与福州南路交汇处西北侧,在售,16500,元/㎡
鲁商中央公馆,价格,在售,13000,元/㎡起
海尔地产珺玺,[ 城阳区 高新区 ] 火炬路127号,待售,13490,元/m²
青铁华润城,[ 崂山区 汽车东站 ] 辽阳路与深圳路交汇处,在售,32500,元/㎡
华润大厦,[ 市南区 香港路沿线 ] 香港中路与山东路交汇处（青岛市市政府...,在售,27000,元/㎡
富力总部基地,[ 城阳区 流亭 ] 长城南路1号（流亭国际机场东侧）,在售,10000,元/㎡起
新城红岛湾,[ 城阳区 高新区 ] 华强路2-6号,在售,15300,元/㎡
旭辉银盛泰正阳府,[ 城阳区 正阳路 ] 正阳中路与靖城路交汇处（向北500米）,在售,20000,元/㎡
蔚蓝创新天地,[ 城阳区 正阳路 ] 荟城路506号,在售,15800,元/㎡起
鑫苑御龙湾,[ 黄岛区 江山路 ] 滨海大道与学院路交汇处,在售,18500,元/㎡起
辛安府,[ 黄岛区 辛安 ] 团结路1505号,在售,10500,元/㎡
忠观悦府,[ 胶州市 胶州 ] 泸州路,在售,11000,元/㎡
融创维多利亚湾,[ 黄岛区 长江路 ] 同江路1号,在售,12300,元/㎡
青岛印象湾,[ 李沧区 李村 ] 文昌路697号,在售,166,万元/套起
中洲半岛城邦,[ 胶州市 空港 ] 少海北路58号,在售,10000,元/㎡
绿地凤栖澜玥,[ 黄岛区 金沙滩 ] 珠江路与衡山路交汇处东200米,待售,25750,元/m²
海信积米湾,[ 黄岛区 漓江路 ] 积米崖港口西侧1公里（碧海临风小区西...,在售,17085,元/㎡起
中铁青岛世界博览城,[ 胶南市 滨海大道 ] 盛海路98号,在售,13000,元/㎡
保利云禧,[ 胶州市 新城 ] 兰州东路与海尔大道交汇处,待售,12056,元/m²
保利红岛湾,[ 城阳区 高新区 ] 红岛街道华强路2号,待售,25000,元/㎡
万科金域华府,[ 城阳区 正阳路 ] 瑞阳路107号,在售,17482,元/㎡起
万科新都会,[ 黄岛区 江山路 ] 嘉陵江西路(西海岸医疗中心南),在售,18000,元/㎡
万科城市之光,[ 黄岛区 辛安 ] 江山路与淮河西路交汇处西100米,在售,14315,元/㎡
国际海洋智区,[ 胶南市 滨海大道 ] 滨海大道地铁13号线大珠山站旁,待售,13625,元/m²
天一仁和城,[ 胶州市 新城 ] 温州路1778号,在售,12000,元/㎡起
天一仁和悦湖锦府,[ 城阳区 高新区 ] 岙东路与宏通路交汇处,待售,12436,元/m²
天一仁和悦海大观,[ 胶州市 经济开发区 ] 长江路东8号（中加国际学校东侧）,在售,10600,元/㎡
鲁昊棠琳湾,[ 城阳区 白沙河 ] 青兰高速,在售,15500,元/㎡
鑫江华府,[ 城阳区 黑龙江路 ] 黑龙江路724号,在售,22000,元/㎡
海信珠山小镇,"[ 黄岛区 辛安 ] 黑山路,近六盘山路",在售,14000,元/㎡起
恒大悦珑台,[ 即墨区 温泉镇 ] 麒麟路88号,在售,13600,元/㎡
三盛国际海岸,[ 即墨区 温泉镇 ] 岭海西路36号,在售,12700,元/㎡
和达铭著,[ 平度市 平度 ] 同和路和秀水河东路交叉口,在售,6700,元/㎡
青特地铁花屿城,[ 城阳区 夏庄 ] 王沙路与银河路交汇处,在售,21000,元/㎡起
红星天铂,[ 胶南市 滨海大道 ] 西海岸路与易通路交汇处,在售,13500,元/㎡
万科青岛小镇,[ 黄岛区 漓江路 ] 胶州湾东路999号,待售,17333,元/m²
奥园翰林名苑,[ 黄岛区 长江路 ] 香江路与五台山路交汇处（运海城东侧）...,在售,19000,元/㎡起
长水山庄,[ 城阳区 惜福镇 ] 王沙路1616号,在售,12600,元/㎡起
K2海棠湾,[ 胶南市 滨海大道 ] 海王路1699号,在售,18000,元/㎡起
鲁商泰晤士小镇,"[ 城阳区 惜福镇 ] 正阳东路67号,百福路167号",在售,13000,元/㎡起
中南漫悦湾,[ 黄岛区 长江路 ] 前湾港路267号,在售,14700,元/㎡
世茂公园美地,[ 城阳区 高新区 ] 宝源路663号,在售,13000,元/㎡
鑫江合院,[ 城阳区 夏庄 ] 王沙路27号（云头崮水库北侧）,在售,24000,元/㎡
泰山路99号,[ 市北区 台东 ] 泰山路与辽宁路交汇处,在售,29000,元/㎡
融海公馆,[ 胶南市 珠山路 ] 军民融合区山川路与翠岛路交汇处,待售,14400,元/m²
中南世纪城,[ 李沧区 李村 ] 重庆中路879号,待售,20000,元/㎡
珠山秀谷御墅,[ 胶南市 珠山路 ] 山川路1177号,在售,13500,元/㎡
海信香江睿园,[ 黄岛区 长江路 ] 嘉陵江东路与五台山路交界,在售,16200,元/㎡
金府花园,[ 即墨区 金口镇 ] 府前路32号,在售,7200,元/㎡
三木家天下文澜府,"[ 胶州市 新城 ] 辽河路,近交大大道",在售,10500,元/㎡
当代华府,[ 胶南市 珠山路 ] 藏马山西麓黑龙潭路与集灵路交汇处,在售,5500,元/㎡
荣盛锦绣外滩,[ 胶州市 经济开发区 ] 交大大道以西，湘江路以南，创新大道以...,在售,11500,元/㎡起
天安数码城檀府御园,[ 城阳区 正阳路 ] 春阳路88号,在售,18000,元/㎡
海信九贤府,[ 即墨区 创智新区 ] 文化路与泰山一路交汇处（原华龙包装地...,在售,14000,元/㎡
海信学府里,[ 即墨区 创智新区 ] 泰山一路与文化路交汇处,在售,11000,元/㎡起
碧桂园蓝谷之光,[ 即墨区 鳌山卫 ] 蓝谷沙滩一路以南、莱青路以东、山东北...,在售,14500,元/㎡
金地禹洲江山艺境,[ 黄岛区 江山路 ] 江山南路东、黄浦江路北（江山路第一小...,在售,25000,元/㎡
保利天汇,[ 市北区 新都心 ] 长沙路18号,在售,27000,元/㎡
梦想望城,[ 莱西市 莱西 ] 青岛南路66号,在售,6199,元/㎡起
大溪谷,价格,在售,15000,元/㎡起
龙湖昱城,[ 胶州市 新城 ] 海尔大道与香港路交汇处,在售,13000,元/㎡
保利叁仟栋,[ 胶州市 少海新城 ] 少海北路52号,在售,10800,元/㎡
碧桂园翡翠城,[ 城阳区 高新区 ] 新业路以南，岙东路以西700米,在售,14800,元/㎡
海尔地产翡翠云城,[ 崂山区 其他 ] 松岭路199号（海洋大学崂山校区对面）,在售,31000,元/㎡
融创都会中心,[ 李沧区 金水路 ] 黑龙江中路568号,在售,22000,元/㎡起
万科翡翠长江,[ 黄岛区 长江路 ] 长江中路与白云山路交汇处,在售,25000,元/㎡
昆仑首府,[ 黄岛区 长江路 ] 昆仑山路榕江路交汇处,在售,16000,元/㎡
鑫坤临水宜家,[ 胶州市 胶州 ] 温州路东青年水库东侧,待售,11167,元/m²
协信天骄观澜国际社区,[ 胶州市 少海新城 ] 少海南路（近少海湾国际俱乐部）,在售,13000,元/㎡起
天峰首府,"[ 城阳区 正阳路 ] 正阳东路,近王沙路",在售,15500,元/㎡
佳兆业水岸新都,[ 城阳区 夏庄 ] 王沙路358号,在售,16000,元/㎡起
花样年碧云湾,[ 胶州市 经济开发区 ] 淮河路与创新大道交界处,在售,13000,元/㎡
龙湖天璞,[ 黄岛区 金沙滩 ] 青云山路与银沙滩路交汇处,在售,22000,元/㎡
观澜国际,[ 即墨区 即墨市 ] 长江一路88号,在售,11500,元/㎡
磊鑫河畔阳光,[ 城阳区 夏庄 ] 王沙路788-18号,在售,15000,元/㎡起
远洋御城,[ 胶州市 经济开发区 ] 创新大道与黄河路交汇处,在售,11000,元/㎡起
