house_name,house_location,house_status,house_price,price_unit
孔雀城新京学府,[ 苏家屯 八一 ] 孔雀杉路35号,在售,5300,元/㎡
浦江御景湾,价格,在售,13500,元/㎡起
旭辉铂宸府,[ 沈河 沈河 ] 团结路59号,在售,18000,元/㎡
旭辉雍禾府,"[ 铁西 保工北 ] 北二中路,近保工北街",在售,17000,元/㎡起
五矿沈河金城,[ 沈河 南塔 ] 文化东路20号（原省图书馆东行300米）,在售,14000,元/㎡
碧桂园太阳城丨柏俪湾,[ 沈北新区 道义 ] 蒲河路39-1号,在售,6500,元/㎡
碧桂园公园里,[ 浑南区 浑南区 ] 白塔一街2号,在售,8800,元/㎡
恒大悦龙台,[ 于洪 红旗台 ] 于洪区东北食品城南,在售,9600,元/㎡
玉祥·明居,[ 于洪 西三台子 ] 松山西路92号,在售,14500,元/㎡
越秀星汇云锦,[ 沈河 南塔 ] 天坛一街36号,在售,16500,元/㎡起
汇置尚都,[ 沈北新区 道义 ] 道义南大街67号,在售,8000,元/㎡起
阳光城璞悦,[ 铁西 铁西广场 ] 云峰街与南九东路交汇处,待售,15000,元/㎡
沈阳龙湖九里晴川,[ 沈北新区 道义 ] 蒲丰路49号（尚柏奥莱西行约1公里）,在售,[],元/㎡
新润万寿里,[ 沈河 中街 ] 小西路36号,在售,10000,元/㎡起
华润置地八號院,[ 于洪 西三台子 ] 赤山路南侧,在售,11500,元/㎡
华润置地净月臺,[ 铁西 经济技术开发区 ] 星海路和昆明湖街交汇处,在售,10600,元/㎡
华润崑崙御,[ 皇姑 东三台子 ] 三台子地铁口A出口,在售,8680,元/㎡
华润置地·二十四城,[ 铁西 铁西 ] 沧海路8号,在售,8000,元/㎡起
中粮花熙祥云,[ 大东 望花 ] 中街与生产路交汇处东行1500米（职业技...,在售,11000,元/㎡起
美的时代城,[ 铁西 经济技术开发区 ] 开发大道4号,在售,9200,元/㎡
美的瀚悦府,[ 皇姑 皇姑 ] 沈阳师范大学东门,在售,9500,元/㎡
碧桂园银亿·大城印象,[ 于洪 于洪 ] 怒江北街221号（怒江北街西侧）,在售,9000,元/㎡起
恒大中央广场,[ 浑南区 浑南区 ] 白塔河二路，沈本大街,在售,10000,元/㎡起
金地樾檀山,[ 浑南区 浑南区 ] 华园东路与绮霞街交汇处,在售,11800,元/㎡起
中海和平之门棠颂,[ 和平 长白 ] 长白南路339号,在售,17500,元/㎡
首开国风润城,[ 沈北新区 沈北新区 ] 虎石台南大街57号,在售,5500,元/㎡
金辉优步湖畔,"[ 于洪 丁香湖 ] 重工北街,近昆山西路",在售,11500,元/㎡
亿茂禧悦风华,[ 浑南区 浑南区 ] 沈营大街920号(东北大学浑南校区西20米...,在售,11000,元/㎡
华润置地幸福里润府,"[ 和平 长白 ] 南京南街,近长白北路",在售,13000,元/㎡起
金地艺境,[ 浑南区 浑南区 ] 王家湾300号,在售,8000,元/㎡起
保利白沙林语,[ 浑南区 浑南区 ] 玄菟路580号,在售,7500,元/㎡
中海城,[ 于洪 于洪 ] 松山西路120,在售,8000,元/㎡起
中海半山华府,[ 浑南区 浑南区 ] 沈本大街与全运路交汇处,在售,15000,元/㎡起
中粮隆玺祥云,[ 皇姑 北陵 ] 黄河北大街56号,在售,23000,元/㎡起
保利达翠堤湾,[ 沈河 高官台 ] 沈水东路320号,在售,8000,元/㎡
华润置地长安里,[ 浑南区 浑南区 ] 长安桥南街9号（长安桥南300米）,在售,14000,元/㎡起
美域天成,[ 铁西 铁西 ] 中央大街22号,在售,8500,元/㎡
首创光和城,[ 浑南区 浑南区 ] 沈中大街28号,在售,[],元/㎡
万达公园ONE,[ 浑南区 浑南区 ] 全运路与智慧四街交汇处,在售,12500,元/㎡
尚景·新世界,[ 和平 三好 ] 香港路135号,在售,30000,元/㎡
远洋仰山,[ 浑南区 浑南区 ] 创新路10号（莫子山公园东侧）,在售,11000,元/㎡起
中粮锦云天城,[ 沈北新区 道义 ] 蒲田路与七星东二街交汇处,在售,6500,元/㎡起
万科明日之光,[ 苏家屯 苏家屯 ] 雪莲街49-2-5号,在售,9500,元/㎡
保利茉莉公馆,[ 和平 和平 ] 红椿路38号,在售,9000,元/㎡
保利观唐,"[ 于洪 于洪 ] 青城山路,近甘河街",在售,9500,元/㎡
清河半岛,[ 沈北新区 蒲河 ] 蒲南路20号,在售,15000,元/㎡
万锦红树湾,[ 浑南区 浑南区 ] 全运五路,在售,9000,元/㎡
绿城沈阳全运村,[ 浑南区 浑南区 ] 全运路93号,在售,14000,元/㎡起
融创沈阳府,[ 铁西 铁西 ] 燕塞湖街.近花海路,在售,12000,元/㎡
城建万科翡翠书院,[ 浑南区 长青桥 ] 长青南街与汇泉东路交汇处,在售,15000,元/㎡
中南玖熙墅,[ 铁西 铁西 ] 沈新路105号,在售,11500,元/㎡
恒大盛京世家,[ 浑南区 浑南区 ] 香堤路199号（伯官大桥东南侧）,在售,8500,元/㎡起
尚海印象,"[ 铁西 经济技术开发区 ] 中央大街,近十三号路",在售,7500,元/㎡
融创城,[ 铁西 经济技术开发区 ] 沈辽西路183号,在售,6600,元/㎡
保利云禧,[ 铁西 铁西 ] 北二西路与北启工街交汇处,在售,12000,元/㎡起
荣盛紫提东郡,[ 浑南区 东湖 ] 浑南东路59号（建筑大学东3公里）,在售,9500,元/㎡起
小石城九颂大院,[ 浑南区 浑南区 ] 红椿东路,在售,13000,元/㎡起
金地半山麓,[ 大东 陶瓷城 ] 东望北街22号,在售,7700,元/㎡起
阳光100果岭公馆,[ 铁西 经济技术开发区 ] 十号路9甲2号,在售,9000,元/㎡
金地铁西檀府,[ 铁西 经济技术开发区 ] 燕塞湖街45号,在售,11000,元/㎡
雨润中央宫园,[ 沈北新区 道义 ] 盛京大街,在售,5678,元/㎡起
旭辉东樾城,价格,在售,14000,元/㎡
荣盛锦绣天地,[ 铁西 经济技术开发区 ] 沈辽西路136号,在售,6500,元/㎡
郡源悦城,[ 皇姑 皇姑 ] 黄河北大街286号,在售,8700,元/㎡
富力尚悦居,[ 大东 望花 ] 轩兴四路,在售,9500,元/㎡起
新荣大厦,[ 和平 和平 ] 中山路21号,在售,11000,元/㎡起
意大利风情小镇,[ 于洪 丁香湖 ] 广业西路11号,在售,11000,元/㎡
恒大雅苑,[ 皇姑 四台子 ] 文大路221号,在售,8200,元/㎡起
金地悦峰,"[ 皇姑 首府新区 ] 鸭绿江街,近铁山路",在售,11000,元/㎡
万科翡翠四季,[ 浑南区 浑南区 ] 沈营大街66号,在售,12500,元/㎡起
万科翡翠公园,[ 于洪 于洪 ] 黄海路,在售,12000,元/㎡起
保利海德公园,"[ 于洪 于洪 ] 沈辽路,近大明湖街",在售,8800,元/㎡
沈阳恒大滨江左岸,[ 浑南区 浑南区 ] 浑南东路,在售,10000,元/㎡起
佳兆业悦峰,[ 和平 和平 ] 长白岛仙岛南路（东北气象局西侧）,在售,16000,元/㎡
中海天誉,[ 浑南区 浑南区 ] 高深东路7号（高深东路和智慧四街交汇...,在售,16000,元/㎡
