house_name,house_location,house_status,house_price,price_unit
MOC芯城汇,"[ 相城 高铁新城 ] 南天成路,近相融路",在售,27000,元/㎡
九龙仓苏州国际金融中心,价格,在售,33000,元/㎡起
万科未来之城,"[ 昆山 园区东 ] 晨丰路,近新城南路",在售,14000,元/㎡起
中粮天悦,[ 相城 活力岛 ] 御窑路1699号（轨交4号线龙道浜站向南...,在售,27500,元/㎡起
苏州万和悦花园,[ 吴江 桃源 ] 华盛大道与华天路交汇处,在售,8990,元/㎡起
花样年碧螺湾,[ 吴中 环太湖 ] 环太湖大道与烟波路交汇处,在售,330,万元/套起
禹洲嘉誉山,[ 新区 北新区 ] 通安镇真北路与真山路交汇处,在售,17416,元/㎡起
苏高新地产天城花园,[ 吴江 松陵 ] 长板路1号,在售,11500,元/㎡起
保利悦都SOHO,[ 吴中 尹山湖 ] 苏州吴中区东安路与游湖路交汇处,在售,15000,元/㎡
楠香雅苑,[ 新区 浒墅关 ] 新区永旺东（中环北线与安杨路交汇处）,在售,23000,元/㎡起
绿地瞰湖生活广场,"[ 新区 科技城 ] 科研路,近稼先路",在售,19000,元/㎡起
姑苏正弘府,"[ 吴中 甪直 ] 甪直大道,近甫澄北路",在售,20000,元/㎡起
联发棠颂雅庭,[ 吴江 松陵 ] 吉市西路、运东大道交叉口西北侧地块,待售,16022,元/m²
中海富仕居,[ 吴江 滨湖 ] 中山南路与龙河路交叉口以东,在售,17500,元/㎡起
缤纷桃李花园,[ 吴江 滨湖 ] 庞杨路1939号,待售,22750,元/m²
九龙仓天曦,[ 相城 阳澄东路 ] 顺贤路与湘洲路交汇处,待售,15984,元/m²
科技城金茂府,[ 新区 科技城 ] 嘉陵江路和武夷山路交汇,在售,33000,元/㎡
禹洲·嘉荟星岛,[ 相城 望亭 ] 鹤溪路与光明街交汇处,在售,16500,元/㎡起
蔚蓝四季花园,[ 吴中 环太湖 ] 吴中太湖度假区管委会旁，香山路与蒯祥...,在售,18500,元/㎡起
洛克公园,[ 新区 浒墅关 ] 桑园路北津东路交叉口,在售,180,万元/套起
中粮本园,[ 吴江 同里 ] 同肖西路299号,在售,27000,元/㎡
万宇名都花园,[ 相城 相城大道 ] 庆元路88号,在售,20000,元/㎡起
中交路劲璞玥风华,[ 新区 浒墅关 ] 安杨路99号（新区永旺梦乐城对面）,在售,30000,元/㎡起
姑苏金茂悦,[ 吴中 木渎 ] 金枫路与竹窝路交叉口,在售,25500,元/㎡起
首开金茂熙悦,[ 新区 北新区 ] 新区中环西线与通浒路交汇处（浒墅关大...,在售,23000,元/㎡起
金辉•悠步临湖,[ 吴中 环太湖 ] 临湖镇东山大道和渡村路的交汇处,在售,15500,元/㎡
悦棠湾花苑,"[ 吴江 盛泽 ] 中心大道,近南环路",在售,10000,元/㎡
花漫四季花园,[ 吴中 环太湖 ] 银藏路1718号,在售,14900,元/㎡起
上湖名著,[ 吴江 黎里 ] 汾湖高新区（黎里镇）洋砂荡及洋砂路以...,在售,23000,元/㎡
新城伟业悦隽平澜府,[ 吴江 震泽 ] 北麻漾西新中路与永宁路交汇处,在售,9000,元/㎡起
万科璞悦雅筑,[ 常熟 常熟 ] 常熟市尚湖翡翠路以南，鸣翠路以东,在售,300,万元/套
拾鲤花园,[ 相城 北桥 ] 凤湖路8号,在售,13800,元/㎡起
翡翠公园,[ 吴江 松陵 ] 江陵东路与运东大道交汇处,在售,220,万元/套起
旭辉·宽阅雅苑,[ 新区 浒墅关 ] 文昌路与大同路交汇处,在售,24000,元/㎡起
建发阳光城璞悦,[ 相城 渭塘 ] 澄阳路和新燕大道交汇处,在售,20000,元/㎡起
龙光玖誉湾,[ 吴江 黎里 ] 汾湖东港路与芦莘大道交汇处,在售,19000,元/㎡
海胥澜庭,"[ 姑苏 胥江 ] 桐泾南路,近劳动路",在售,37000,元/㎡
泰禾华发姑苏院子,[ 姑苏 石路 ] 西园路66号,在售,730,万元/套起
仁恒公园世纪,"[ 姑苏 胥江 ] 劳动路,胥台路",在售,36000,元/㎡
三千邑,[ 吴江 松陵 ] 江陵东路689号,在售,16000,元/㎡起
