house_name,house_location,house_status,house_price,price_unit
奥体公元101,[ 静海 团泊湖 ] 西区健康大道与体育大道交口,在售,9500,元/㎡起
融创臻园,价格,在售,21000,元/㎡
格调松间,[ 西青 精武镇 ] 华苑旁迎水道延长线以南,待售,26000,元/㎡
隽悦府,[ 武清 中央水城 ] 泉京路与泉雅道交口,在售,19600,元/㎡
天地源·熙樾台,[ 河西 新八大里 ] 解放南路与郁江道交口东北侧,在售,44000,元/㎡
中海国际公园城,[ 津南 八里台镇 ] 天嘉湖大道,在售,9100,元/㎡
融创星耀五洲,[ 津南 八里台镇 ] 天嘉湖大道,在售,9600,元/㎡
格调平园,[ 西青 后梅江 ] 兰波路与江湾路交口，会展中心西侧，沿...,在售,33000,元/㎡
东亚风尚国际,[ 河东 新开路 ] 新开路与南横街交口,在售,220,万元/套起
梅江公馆,[ 河西 梅江 ] 郁江道37号,在售,20000,元/㎡
世茂·国风锦唐,[ 滨海新区 中新生态城 ] 中天大道与华一路交口,在售,21000,元/㎡
仁恒海和院,[ 津南 海河教育园区 ] 雅润路与同德路交口,在售,20000,元/㎡起
世茂璀璨公园,[ 津南 咸水沽镇 ] 界河路,在售,13800,元/㎡
蓝光雍锦半岛,[ 西青 杨柳青 ] 津同公路与子牙桥交口1公里处，高尔夫...,在售,24000,元/㎡起
新城梧桐公馆,[ 武清 杨村 ] 京津公路与嘉静道交口东行100米,在售,15000,元/㎡
鼓浪水镇,[ 滨海新区 中新生态城 ] 鲤鱼门路,在售,11000,元/㎡
绿地新里·栖湖公馆,[ 北辰 津京公路 ] 民安路与永进道交叉口,在售,12600,元/㎡
合盛嘉园,[ 静海 静海经济开发区 ] 中旺镇唐河路东侧,在售,5800,元/㎡起
卓越云门,[ 西青 精武镇 ] 纬华道与国兴路交口,待售,21200,元/m²
泉上·文华,[ 武清 中央水城 ] 泉水道与泉尚路交口南行500米,在售,20000,元/㎡
翡翠半岛,[ 武清 杨村 ] 翠亨路,在售,12000,元/㎡起
中骏云景台,[ 静海 团泊湖 ] 泽水北路,在售,12000,元/㎡
力高阳光海岸,[ 滨海新区 中新生态城 ] 航北路,在售,10500,元/㎡
锦庐,[ 西青 李七庄 ] 津涞公路与外环西路交口西南侧,在售,22000,元/㎡
金科·博翠湾,[ 武清 中央水城 ] 泉雅道与滨河道交口,在售,17200,元/㎡
经纬城市绿洲武清二期,"[ 武清 杨村 ] 雍和道,近新开路",在售,13800,元/㎡
天房领世郡,[ 西青 后梅江 ] 洞庭路与外环线交口东南侧,在售,23000,元/㎡起
金地长湖湾,[ 静海 团泊湖 ] 环湖东路,在售,110,万元/套起
筑境,[ 静海 静海经济开发区 ] 春曦道与宙纬路交口,在售,16000,元/㎡
南开1911,[ 南开 黄河道 ] 黄河道北侧（咸阳路地铁站I口旁）,在售,41300,元/㎡
海尔世纪公馆,[ 东丽 东丽湖 ] 东丽大道与丽桐路交口,在售,14000,元/㎡
景瑞•塘沽湾壹号,[ 滨海新区 塘沽 ] 国兴路以西，津泰道以北,在售,14000,元/㎡
雅居乐御宾府,[ 津南 海河教育园区 ] 雅润路与泰明路交口,在售,22000,元/㎡
万科民和巷,[ 东丽 东丽开发区 ] 津塘公路,在售,22000,元/㎡起
中核·阅和平,[ 和平 劝业场 ] 多伦道与陕西路交口处,在售,55000,元/㎡
阳光城翡丽公园,[ 北辰 津京公路 ] 津围公路与九园公路交口北侧北辰科技园...,在售,11600,元/㎡起
东郡,[ 东丽 成林道 ] 程新道与迭山路交口,在售,25000,元/㎡
北大资源阅府,[ 东丽 东丽湖 ] 东丽大道,在售,15000,元/㎡
财富绿道丹庭,[ 河北 宜白路 ] 南口路,在售,36000,元/㎡
金地艺城瑞府,[ 津南 咸水沽镇 ] 四里沽路,待售,14960,元/m²
中骏四季风华,[ 滨海新区 汉沽 ] 长深高速汉沽收费站西侧,在售,6300,元/㎡
福晟公元大第,[ 静海 团泊湖 ] 丽水路北侧、岷江道东侧,在售,235,万元/套
碧桂园莫奈的湖,[ 武清 曹子里 ] 杨六路,在售,9500,元/㎡
京汉云湖间,[ 武清 南湖 ] 环湖路南湖景区4号门路南,在售,13000,元/㎡起
龙洲道188号,[ 北辰 瑞景 ] 北辰道与辰永路交口西南侧,在售,25500,元/㎡
津门熙湖,[ 津南 小站镇 ] 天山路与昌盛路交口,在售,11000,元/㎡起
万科西庐,[ 西青 精武镇 ] 津涞公路与工一号路交口南侧,在售,20800,元/㎡
慧翔云溪,[ 武清 中央水城 ] 泉水道与京泉路交口西侧,在售,9500,元/㎡
世茂·国风雅颂,[ 武清 中央水城 ] 黄庄街滨河道,在售,16500,元/㎡
金地藝墅家,[ 西青 精武镇 ] 宾水西道与工一号路交口以南,在售,21000,元/㎡起
鸿坤·山语,"[ 蓟州 康平路 ] 黄花山路,近迎宾大街",在售,13000,元/㎡
金融街碧桂园熙湖臺,[ 东丽 东丽湖 ] 东丽湖路与智景东道交口,在售,16500,元/㎡
和山正院,[ 蓟州 城关 ] 无终园大街与湖东大道交口,在售,12800,元/㎡
中国铁建公馆189,[ 河北 金钟河大街 ] 红波路,待售,25000,元/㎡
鸿坤理想城,[ 静海 团泊湖 ] 仁爱大道,在售,9000,元/㎡
东南中心合悦居,[ 南开 老城厢 ] 东马路与南马路交口西北侧,在售,38000,元/㎡
首创新北京半岛,[ 武清 河西务 ] 津京高速,在售,15500,元/㎡起
万科滨海大都会,[ 滨海新区 塘沽 ] 洞庭路与上海道交口,在售,23500,元/㎡
雍祥府,[ 北辰 南仓 ] 朝阳路与天重道交口,在售,21000,元/㎡起
中储正荣栋境,价格,在售,33000,元/㎡
龙湖·九里晴川,[ 滨海新区 北塘居住区 ] 黄海北路与泰州道交口西侧100米,在售,19000,元/㎡
花样年家天下,[ 武清 南湖 ] 天和路与农于道交口,在售,12500,元/㎡起
华远景瑞·海蓝城,[ 津南 咸水沽镇 ] 南华路津南实验小学东行400米,在售,14000,元/㎡起
碧桂园丽泽府,[ 静海 团泊湖 ] 东区仁爱大道与清水南路交口以西10米,在售,200,万元/套起
东丽湖万科城理想镇,[ 东丽 东丽湖 ] 情景大道,在售,12500,元/㎡
天津华侨城天鹅堡,[ 东丽 东丽湖 ] 东丽湖路,在售,10500,元/㎡
万科观澜,[ 滨海新区 塘沽 ] 胡家园和商道与中三路交口（新塘湖公园...,在售,12000,元/㎡
金泰丽湾,[ 东丽 华明镇 ] 弘顺道,待售,15807,元/m²
听海蓝珊,[ 滨海新区 北塘居住区 ] 新北支路,在售,15500,元/㎡
恒大阳光半岛,[ 天津周边 其他 ] 昆明市空港新区兰茂大道与军长路交叉口,待售,13380,元/m²
中建城,[ 滨海新区 塘沽 ] 金光路,在售,12000,元/㎡
北新玉龙湾,[ 武清 武清开发区 ] 开源道与新兴路交口,在售,18000,元/㎡
碧桂园云河上院,[ 武清 武清开发区 ] 南东线与龙凤新河交口东侧,待售,14964,元/m²
仁恒公园世纪,[ 河西 新梅江 ] 浯水道与洞庭路交口,在售,39500,元/㎡
万科西华府,[ 西青 海泰产业园 ] 海泰南北大街城建大学旁（北侧）,在售,27000,元/㎡
远洋琨庭,[ 滨海新区 开发区 ] 第二大街与太湖东路交口东侧,在售,31000,元/㎡
凯蒂壹号,[ 津南 双港镇 ] 五大街与香港街交口南侧,在售,8400,元/㎡
碧桂园天玺,[ 滨海新区 响螺湾 ] 塘沽万年桥北路东侧，新港路南侧,在售,15500,元/㎡
华远棠悦,[ 滨海新区 汉沽 ] 汉郡豪庭南侧,在售,8400,元/㎡
新城樾风华,[ 北辰 小淀镇 ] 101省道,在售,14000,元/㎡起
天房中山路,[ 河北 中山路 ] 中山北路130号,在售,33000,元/㎡
融泰城,[ 西青 津涞公路 ] 秀川路,在售,16000,元/㎡起
金地新城大境,[ 宝坻 宝坻城区 ] 环城南路,在售,12000,元/㎡起
唐望府,[ 滨海新区 塘沽 ] 津塘公路,在售,15000,元/㎡
万科天地,[ 东丽 东丽开发区 ] 津塘公路,在售,16500,元/㎡
阳光100天塔喜马拉雅,[ 南开 水上奥体 ] 卫津南路与天塔道交口西南侧,在售,42000,元/㎡
艺英里,[ 西青 精武镇 ] 津涞公路与秀川路交口，秀川路南行800...,在售,20000,元/㎡起
绅湖公馆,[ 滨海新区 滨海旅游区 ] 滨海湖路,在售,9800,元/㎡
众美南湖湾,[ 武清 南湖 ] 天和路与藕甸道交口西南侧,待售,12000,元/m²
富力又一城,[ 津南 咸水沽镇 ] 东沽路,在售,13500,元/㎡
公园里,[ 津南 八里台镇 ] 解放南路延长线津港公路旁（建鑫城南侧...,在售,11000,元/㎡起
保利东郡,[ 滨海新区 汉沽 ] 大丰路以东2公里（泰达汉郡东500米）,在售,10000,元/㎡
凤栖梧桐,[ 滨海新区 中新生态城 ] 华三路与新一街交口,在售,15000,元/㎡起
鑫苑汤泉世家,[ 武清 泗村店 ] 京津高速公路,在售,12000,元/㎡
大唐印象,[ 东丽 华明镇 ] 赤海路,在售,15000,元/㎡
天安数码城·珑园,[ 西青 张家窝 ] 赛达大道与柳口路交口,在售,17000,元/㎡起
瑜芳园,[ 东丽 空港 ] 民族路,在售,17500,元/㎡
未来城,[ 北辰 宜兴埠 ] 宜白路地铁三号线（宜兴埠站）北侧未来...,在售,19000,元/㎡起
中冶盛世国际广场,[ 河西 新八大里 ] 洪泽路,在售,30000,元/㎡
保利海上五月花,"[ 滨海新区 大港港东新城 ] 海景七路,近旭日路",在售,12500,元/㎡
东丽御园,[ 东丽 东丽开发区 ] 地铁9号线东丽开发区站南侧（新业广场...,在售,23000,元/㎡
昆仑御,[ 北辰 南仓 ] 龙门东道与朝阳路交口,在售,22000,元/㎡
中福朗诗翠微澜阁,[ 滨海新区 中新生态城 ] 邦盛路与海博道交口,在售,20000,元/㎡
万通金府国际,[ 东丽 空港 ] 中心大道,在售,11000,元/㎡
金地·臻悦,[ 滨海新区 开发区 ] 第五大街与航运中路交口,待售,22000,元/㎡
禹洲悦府,[ 滨海新区 塘沽 ] 天津大道北侧塘沽湾新城,在售,12000,元/㎡
融创璟园,[ 北辰 南仓 ] 铁东北路与天运道交口,在售,23500,元/㎡
社会山西苑,[ 西青 张家窝 ] 祥和大道181号（南站西侧600米处）,在售,20000,元/㎡
经纬城市绿洲滨海,[ 滨海新区 大港港东新城 ] 海景二路,在售,10700,元/㎡
富兴玺园,[ 武清 下朱庄 ] 广贤路东侧,待售,14018,元/m²
蓟州鸿坤花语,[ 蓟州 城关 ] 人民西大街,在售,12000,元/㎡
中惠熙元广场,"[ 滨海新区 响螺湾 ] 庆盛道,近集华道",在售,18000,元/㎡起
和平翰林公馆,[ 和平 南京路 ] 南京路与滨江道交口,在售,60000,元/㎡起
天安象屿智慧城·都城,[ 东丽 东丽湖 ] 津汉公路二号桥与三号桥之间北侧(津汉...,在售,11000,元/㎡
阅海名筑,[ 滨海新区 北塘居住区 ] 天池路,在售,14500,元/㎡
实地·天津海棠雅著,[ 宝坻 宝坻新城 ] 祥瑞大街,在售,9500,元/㎡
天津滨海万达广场,[ 滨海新区 塘沽 ] 上海道与洞庭路交口,在售,23000,元/㎡
