house_name,house_location,house_status,house_price,price_unit
路劲时代城,[ 江夏 江夏 ] 五里界锦绣大道与界兴路交叉口,在售,8500,元/㎡
正荣紫阙台,[ 东湖高新 关山 ] 南湖大道208号,在售,24000,元/㎡
龙湖光谷城,[ 东湖高新 光谷东 ] 光谷四路与神墩三路交汇处,待售,18341,元/㎡
青青佳园,[ 东西湖 常青花园 ] 金银潭大道6号（金银潭大道与将军一路...,待售,18000,元/㎡
城投瀚城璞岸,[ 洪山 南湖 ] 楚康路,在售,23000,元/㎡
保利大都会尚湖,[ 洪山 卓刀泉 ] 卓刀泉南路洪山外国语学校对面,在售,22000,元/㎡
景瑞天赋滨江,[ 洪山 白沙洲 ] 南郊路与三环线交叉口,待售,14129,元/m²
君荟天地,[ 江汉 杨汊湖 ] 姑嫂树路20号东侧（地铁6号线石桥站E出...,在售,20800,元/㎡
华发四季,[ 东西湖 吴家山 ] 轻轨1号线三店站旁,待售,14297,元/m²
新影华翔城,[ 新洲 阳逻 ] 双柳陶家大湖畔（湖北大学阳逻校区向南...,待售,6200,元/㎡
大华铂金瑞府三期,[ 青山 建二 ] 园林路15号,待售,25000,元/㎡
东原乐见城,[ 洪山 南湖 ] 恒安路李纸路地铁7号线板桥站向南200米...,在售,15500,元/㎡
当代铭山筑,[ 东湖高新 光谷 ] 高新大道与光谷三路交汇处,待售,28000,元/㎡
青年说,[ 汉阳 王家湾 ] 二环·地铁3号线四新大道D出口,在售,17500,元/㎡
华发阳逻金茂逸墅,[ 新洲 阳逻 ] 阳逻线施岗站附近,待售,9000,元/㎡
中南拂晓城,"[ 黄陂 盘龙城 ] 天阳路,近川龙大道",在售,11000,元/㎡
中建福地星城星樾,[ 洪山 卓刀泉 ] 雄楚大道与珞狮南路交汇处,待售,22167,元/m²
伟鹏万科御玺滨江,[ 江岸 二七 ] 二七滨江商务区核心区中山大道旁,在售,[],元/m²
光和创谷,[ 东湖高新 光谷 ] 高新大道与驿山南路交汇处（湖北省科技...,待售,14000,元/㎡
佳兆业悦府,[ 东西湖 吴家山 ] 三店大道与轨道交通1号线交汇处（1号线...,在售,12500,元/㎡
中锐滨湖尚城,[ 江夏 江夏 ] 腾讯大道与金龙大街交汇处（腾讯武汉研...,在售,13500,元/㎡
清能正荣府,[ 长江新城 长江新城 ] 胜海大道与汉口北大道交汇处,待售,9100,元/㎡
新力城,[ 洪山 白沙洲 ] 南郊路与三环交汇处,在售,13500,元/㎡
新力金沙湾,[ 新洲 阳逻 ] 阳逻经济开发区平江大道与汉施公路交汇...,在售,9200,元/㎡
万科金域学府,[ 洪山 街道口 ] 安康路,在售,26600,元/㎡
万达御湖壹号,[ 武昌 水果湖 ] 烟霞路,在售,38000,元/㎡
越秀逸境,[ 经济开发区 经济开发区 ] 全力一路与后官湖南路交界处,在售,12500,元/㎡
汉阳城二期云顶,[ 汉阳 钟家村 ] 鹦鹉大道与拦江路交汇处,待售,20167,元/m²
翰林尚苑,[ 洪山 南湖 ] 文化大道地铁7号线新路村站A出口,在售,16000,元/㎡
