house_name,house_location,house_status,house_price,price_unit
无锡中海寰宇天下,"[ 新吴 江溪 ] 金城东路,近春华路",在售,14700,元/㎡起
正大万物城,价格,在售,12500,元/㎡起
绿地西水晶舍,[ 梁溪 北塘 ] 新惠路与惠东路交叉口东南侧,在售,19000,元/㎡
吉宝澜岸铭邸,[ 滨湖 太湖 ] 高浪路，近金石路,在售,24000,元/㎡
宝龙世家,[ 新吴 旺庄 ] 长江南路与新华路交汇处,在售,14000,元/㎡
绿地天空树,"[ 滨湖 太湖 ] 蠡湖大道,近具区路",在售,21800,元/㎡
绿地西水东,[ 梁溪 南长 ] 振新路，近学前路,在售,22888,元/㎡起
雅居乐中央府御璟,[ 滨湖 太湖 ] 观山路与贡湖大道交口处东南侧,在售,25000,元/㎡
万荟城,"[ 惠山 堰桥 ] 锡澄路,近刘潭地铁站",在售,8000,元/㎡起
万科运河传奇,[ 梁溪 南长 ] 南长街与港务路交叉口西南侧,在售,19500,元/㎡起
耘林生命公寓锡海珈苑,[ 滨湖 蠡湖 ] 中桥苏锡路207号（贡湖大道西侧）,在售,22000,元/㎡
雅居乐旭辉藏珑府,[ 滨湖 河埒 ] 梁溪路与蠡溪路交叉口西北侧,在售,32000,元/㎡
新力帝泊湾,"[ 滨湖 马山 ] 人民东路,近刘闾路",在售,12500,元/㎡起
红豆天一华府,"[ 锡山 东亭 ] 锡沪路,近柏庄路",在售,21000,元/㎡起
龙湖蠡湖天著,[ 滨湖 蠡湖 ] 太湖大道与环湖路交叉口往西200米（蠡...,在售,490,万元/套起
华润悦府,[ 滨湖 河埒 ] 湖滨路，近梁溪路,在售,20500,元/㎡起
中交阳羡美庐,"[ 宜兴 湖㳇 ] X206路,近玉女潭路",在售,16100,元/㎡起
远洋太湖宸章,[ 新吴 新安 ] 太科园具区路与净慧东道交汇处（大桥实...,在售,16000,元/㎡起
弘阳昕悦棠,[ 惠山 前洲 ] 中惠大道与从商路交叉口,在售,11000,元/㎡起
弘阳三万顷,[ 滨湖 马山 ] 环山东路8号,在售,33000,元/㎡
茂瑞府,[ 惠山 洛社 ] 洛城大道与雅中路交叉口东北侧,在售,12500,元/㎡起
鸿地雍山府,[ 梁溪 北塘 ] 盛岸路近钱皋路,在售,16500,元/㎡
蓝光雍锦园,[ 锡山 东亭 ] 二泉东路，近团结中路,在售,13000,元/㎡起
时代城,"[ 惠山 钱桥 ] 上伟路,近香缇路",在售,12000,元/㎡起
世茂璀璨时光,[ 梁溪 崇安 ] 锡沪路与通江大道交界处（乐都汇商圈的...,在售,14000,元/㎡起
无锡科技城(协信未来城),[ 梁溪 北塘 ] 江海西路888号 （原金山北科技园会岸路...,在售,13000,元/㎡
弘阳昕悦府,[ 中心城区 云亭 ] 澄杨路与季庄路交叉口,在售,7500,元/㎡起
荣悦湾,[ 滨湖 太湖 ] 观湖路88号,在售,17500,元/㎡起
保利融侨时光印象,[ 梁溪 崇安 ] 北中路与桐桥港路交叉口西南侧,在售,15500,元/㎡起
吉宝凌云峰阁,"[ 梁溪 北塘 ] 江海路,近锡澄路",在售,18000,元/㎡
万业观山泓郡,[ 锡山 锡东 ] 东翔路1509号,在售,19000,元/㎡
蠡湖金茂府,"[ 滨湖 蠡湖 ] 金城西路,近金水路",在售,31000,元/㎡起
天安曼哈顿,[ 滨湖 湖滨路 ] 湖滨路809号,在售,21000,元/㎡起
融创运河壹号府,[ 梁溪 南长 ] 塘南路131号,在售,22000,元/㎡起
华润江南府,"[ 锡山 东亭 ] 云竹路,近东安路",在售,14500,元/㎡起
龙湖天宸原著,"[ 惠山 堰桥 ] 堰新路,近惠源路",在售,16000,元/㎡
龙湖天鉅,[ 惠山 堰桥 ] 惠源路东侧、亿仁医院北侧,在售,14500,元/㎡起
无锡融创文化旅游城,[ 滨湖 太湖 ] 蠡湖大道，近具区路,在售,20000,元/㎡起
美的中骏雍景湾,[ 锡山 东港 ] 联群路与东港大道交汇处,在售,12500,元/㎡
国美南长华府,"[ 梁溪 南长 ] 太湖大道,近通扬路",在售,17000,元/㎡起
中锐星公元,"[ 滨湖 太湖 ] 贡湖大道,近塘铁桥路",在售,31000,元/㎡
美的国宾府,[ 惠山 堰桥 ] 惠山大道与天丰路交汇处,在售,16000,元/㎡起
中洲崇安府,"[ 梁溪 崇安 ] 锡沪东路,近广和路",在售,18500,元/㎡起
远洋湖墅,[ 新吴 新安 ] 新吴区净慧东道与具区路交叉口,在售,258,万元/套起
万科天一新著,"[ 惠山 堰桥 ] 凤鸣路,近天锦路",在售,15000,元/㎡起
龙湖天璞,[ 滨湖 太湖 ] 立信大道周新路交汇处,在售,24000,元/㎡起
宝能城,[ 滨湖 太湖 ] 吴都路，近丰润道,在售,14000,元/㎡
万科观湖礼著,[ 新吴 新安 ] 新吴区太科园秀景路与国信支路交汇处,在售,16000,元/㎡起
融创枫丹御园,[ 新吴 鸿山 ] 新鸿路,在售,12000,元/㎡
金轮湖晓兰庭,[ 滨湖 马山 ] 十里明珠堤与霞光路交叉口,在售,16500,元/㎡起
无锡公园悦府,[ 惠山 堰桥 ] 惠源路和堰裕路交汇处,在售,14500,元/㎡起
万科天一玖著,"[ 惠山 堰桥 ] 天昌路,近凤鸣路",在售,15500,元/㎡起
碧桂园南光城,[ 惠山 洛社 ] 洛南大道与永辉路交汇处,待售,13500,元/㎡
太湖金茂逸墅,[ 滨湖 太湖 ] 南横街与新八路交叉口东南侧,在售,23000,元/㎡起
路劲梅都府,[ 新吴 梅村 ] 梅西路与泰伯大道交叉口西北侧,在售,18000,元/㎡
恒基旭辉府,[ 宜兴 宜城 ] 阳羡东路与东氿大道交汇处（万达对面）,待售,16250,元/m²
建发玖里湾,[ 锡山 锡东 ] 和祥路与山河路交汇处（映月湖公园旁）,在售,16700,元/㎡起
美新玫瑰大道,[ 新吴 江溪 ] 春华路18号,在售,13500,元/㎡
宜兴恒大翡翠华庭,价格,在售,11000,元/㎡起
玉麒会,"[ 惠山 玉祁 ] 湖西路,近锡玉路",在售,13500,元/㎡起
太湖雍华府,[ 新吴 新安 ] 菱湖大道与清晏路交界处,在售,16000,元/㎡起
万科金域缇香,[ 新吴 江溪 ] 长江北路，近宏源路,在售,16000,元/㎡
寺头家园三期,[ 惠山 堰桥 ] 惠山大道与天锦路交口北侧,在售,10500,元/㎡
鸿坤理想湾,[ 新吴 鸿山 ] 至德大道797号,在售,11500,元/㎡
无锡保华旺苑,[ 梁溪 南长 ] 五爱路与迎龙路交汇处,在售,17000,元/㎡
金科蠡湖,[ 滨湖 蠡湖 ] 金城西路与蠡湖大道交汇处,在售,500,万元/套起
ΜΟΜΛ春风湖上,[ 锡山 鹅湖 ] 景园路，近新园路,在售,11000,元/㎡起
宜兴恒大花溪小镇,[ 宜兴 高塍镇 ] 远东大道与科技大道交汇处,在售,7288,元/㎡起
红星大都汇,[ 滨湖 太湖 ] 观山路，近五湖大道,在售,9500,元/㎡
融侨悦府,"[ 梁溪 崇安 ] 江海路,近广益路",在售,18600,元/㎡起
新世界天悦,[ 新吴 坊前 ] 时尚路，近锡山大道,在售,8500,元/㎡起
万科金域蓝湾,[ 无锡周边 镇江 ] 通港路与扬子江路交汇处,在售,6800,元/㎡起
万科北门塘上,"[ 梁溪 北塘 ] 广石西路,近凤宾路",在售,17500,元/㎡起
吴樾东方,[ 新吴 梅村 ] 金城路与梅东河交叉口西南侧,在售,14000,元/㎡起
华发首府,[ 梁溪 南长 ] 南湖大道与金石路交叉口东北侧,在售,19500,元/㎡
美的公园天下,[ 锡山 锡东 ] 和祥路，近弘业东路,在售,16000,元/㎡
碧桂园金茂悦山,[ 锡山 锡北 ] 政丰路与泾声路交汇处（泉山文化公园对...,在售,11500,元/㎡
中联公园里,[ 锡山 东北塘 ] 芙蓉六路近东亭北路,在售,10300,元/㎡
富力运河十号,"[ 梁溪 南长 ] 运河西路,近芦村路",在售,23000,元/㎡
中海英伦观邸,"[ 滨湖 马山 ] 胡山路,近人民路",在售,11000,元/㎡起
路劲蠡湖院子,[ 滨湖 蠡湖 ] 中南西路369号,在售,23000,元/㎡起
龙泽半岛逸湾,[ 惠山 玉祁 ] 曙光路近平湖路,在售,7500,元/㎡
WIII,[ 锡山 锡东 ] 迎平路与润锡北路交叉口,待售,12750,元/m²
栖霞东方天郡,[ 锡山 东北塘 ] 东亭北路，近芙蓉六路,在售,12000,元/㎡起
栖霞栖庭,[ 滨湖 湖滨路 ] 湖滨路701号,在售,19500,元/㎡
实地玫瑰庄园,[ 惠山 前洲 ] 中惠大道，近唐洛路,在售,8800,元/㎡
恒大观澜府,"[ 锡山 东北塘 ] 东亭路,近芙蓉四路",在售,16000,元/㎡起
宛溪雅居,[ 锡山 锡东 ] 联福路东、厚丰路南,在售,11000,元/㎡
栖霞栖园,[ 滨湖 太湖 ] 香雪路，近环湖路,在售,15000,元/㎡起
信运现代城,[ 新吴 江溪 ] 太湖大道658号,在售,11000,元/㎡起
凤鸣山庄,[ 新吴 鸿山 ] 至贤路，近至德大道,在售,370,万元/套起
绿城凤起和鸣,[ 滨湖 太湖 ] 和风路与立信大道交叉口西北侧,在售,32000,元/㎡起
中邦欢乐颂,"[ 新吴 江溪 ] 太湖大道,近春阳路",在售,10500,元/㎡起
恒大御澜湾(阳光福邸),[ 锡山 东北塘 ] 承塘路，近春塘路,在售,12000,元/㎡起
观山名筑,[ 滨湖 太湖 ] 南湖大道，近高浪路,在售,15500,元/㎡
融创银城惠山国际社区,[ 惠山 洛社 ] 钱洛路，近洛水路,在售,13000,元/㎡
蠡湖瑞仕花园,"[ 滨湖 蠡湖 ] 望山路,近蠡溪路",在售,20000,元/㎡起
绿地乐和城,"[ 锡山 东亭 ] 春合路,近太湖大道",待售,12375,元/m²
彩旸香江,"[ 梁溪 南长 ] 羊腰湾路,近向阳路",在售,110,万元/套起
康桥府,[ 滨湖 河埒 ] 梁溪路与青祁路交叉口东南侧,在售,500,万元/套起
太平洋城中城,[ 惠山 堰桥 ] 天一路,在售,12500,元/㎡起
光华时代广场,[ 梁溪 崇安 ] 马巷路10-8号,在售,13000,元/㎡起
金都跃公馆,[ 惠山 堰桥 ] 政和大道298号（区行政服务中心旁）,在售,8500,元/㎡起
南方不锈钢国际交易中心,[ 新吴 坊前 ] 纺城大道289号,在售,8500,元/㎡起
宜兴恒大悦龙台,[ 宜兴 宜城 ] 氿西路与雁行路交汇处西200米,待售,16250,元/m²
恒大溪隐府,[ 宜兴 宜城 ] 宜兴市溪隐路100号（市体育中心北侧）,在售,20000,元/㎡
鸿地望山院墅,[ 梁溪 北塘 ] 钱皋路近惠钱路,在售,17000,元/㎡
香缇半岛,[ 惠山 钱桥 ] 香缇路近上伟路,在售,11000,元/㎡
金科米兰尔家公寓,[ 新吴 江溪 ] 江溪路28号,在售,12000,元/㎡起
无锡恒大悦珑湾(悦珑府),"[ 梁溪 北塘 ] 吴桥西路,近通惠西路",在售,23500,元/㎡
香槟壹号,"[ 滨湖 马山 ] 锡宜公路,近振胡路",在售,11000,元/㎡
富力十号,"[ 滨湖 太湖 ] 高浪西路,近立信大道",在售,23000,元/㎡起
红豆香江豪庭,[ 锡山 锡东 ] 东翔路528号,在售,15000,元/㎡起
圆融发展中心,"[ 梁溪 北塘 ] 锡澄路,近江海路",在售,12000,元/㎡
茂业时代广场,[ 梁溪 北塘 ] 中山路618号,在售,13000,元/㎡起
