house_name,house_location,house_status,house_price,price_unit
沣水云间,价格,在售,17000,元/㎡
丝路金融中心,[ 西咸新区 沣东新城 ] 世纪大道与上林路十字西南角,待售,11500,元/㎡
高新NEWORLD,[ 高新 科技路 ] 团结南路与科技四路东北角,在售,18500,元/㎡
元谷,[ 高新 唐延路 ] 昆明路与团结南路十字东南角,在售,17000,元/㎡
金科世界城,"[ 西咸新区 沣西新城 ] 同文路,近永平路",在售,8800,元/㎡
中国国际丝路中心IPARK公寓,[ 西咸新区 沣东新城 ] 沣东大道与复兴大道十字东南角,在售,10500,元/㎡
汇悦城,[ 浐灞 港务区 ] 港务大道3号,在售,9400,元/㎡
当代上品湾MOMΛ,[ 泾渭 泾渭工业园 ] 长庆东路与泾渭八路十字西南角,在售,7500,元/㎡
绿地国宝21城,"[ 西咸新区 空港新城 ] 咸宋路,近福银高速",在售,8700,元/㎡
绿地璀璨天城,[ 浐灞 港务区 ] 港务西路和秦汉大道十字向东200米,在售,12000,元/㎡
绿地新里格林公馆,[ 西咸新区 秦汉新城 ] 沣泾大道与秦汉大道交汇十字东南角500...,在售,8000,元/㎡
中天诚品,[ 西咸新区 秦汉新城 ] 泾渭大道与兰池二路交汇处,在售,11000,元/㎡
中南春溪集,[ 泾渭 泾渭工业园 ] 陕汽路和渭华路交汇处西南角,在售,9500,元/㎡
阳光城壹号上林悦,"[ 西咸新区 沣东新城 ] 世纪大道,近上林路",在售,11500,元/㎡
中南上悦城,[ 西咸新区 沣东新城 ] 太平路与征和六路交汇处东北角,在售,12000,元/㎡
绿城西安全运村,[ 浐灞 港务区 ] 杏园立交与迎宾大道交汇处向北,在售,11500,元/㎡
公园上城,[ 浐灞 浐河 ] 南三环以南，田马路以西,在售,15000,元/㎡
立丰城市生活广场,"[ 城南 电子城 ] 丈八东路,近子午大道",在售,20000,元/㎡
当代惠尔满堂悦MOMΛ,[ 泾渭 泾渭工业园 ] 长庆东路与泾渭七路十字东北角,待售,7300,元/㎡
恒天国际城,[ 城西 玉祥门 ] 大庆路与环城西路十字西南角处,待售,14900,元/㎡
黄冈学府城,[ 西咸新区 泾河新城 ] 乐华城西（黄冈泾河学校旁）,在售,10500,元/㎡
华侨城天鹅堡五期,[ 曲江区 曲江新区 ] 雁展路与翠华路交汇处东北角,在售,18400,元/㎡
西安蓝光长岛国际社区,[ 西安周边 临潼 ] 秦汉大道,在售,8000,元/㎡
金辉城,[ 西咸新区 泾河新城 ] 茶马大道与泾河大道交汇处向西约3公里,在售,6500,元/㎡
保利和光尘樾,[ 西咸新区 沣东新城 ] 征和四路与太平路十字东南角,待售,12592,元/m²
汉唐新都汇,[ 西咸新区 沣东新城 ] 三桥新街与双拥路交汇处东南,在售,11000,元/㎡
1668新时代广场,[ 浐灞 港务区 ] 港务西路,在售,9000,元/㎡
清凉灞柳,[ 浐灞 灞河 ] 灞柳一路与纺园四路交汇处,在售,10500,元/㎡
航天城中心广场ONE,[ 长安 航天基地 ] 东长安街与京东大道十字西南角,在售,12000,元/㎡
蓝光公园华府,"[ 西咸新区 沣东新城 ] 天台路,近征和四路",在售,13000,元/㎡
鹏润悦秀城,[ 长安 大学城 ] 学府大街与书香路交汇处向西约200米路...,在售,15000,元/㎡
龙湖天鉅,[ 高新 锦业路 ] 西沣路（西安电子科技大学北侧）,待售,15833,元/m²
金地南湖艺境,[ 曲江区 曲江新区 ] 曲江新开门南路与唐华路十字东南角,待售,13000,元/㎡
科为城墅,[ 曲江区 曲江新区 ] 神舟四路与航开路十字交汇处西南角,在售,23511,元/㎡
西安阳光100阿尔勒,[ 浐灞 浐河 ] 浐河西路南段3501号（桃花潭公园旁）,在售,10553,元/㎡
中海曲江大城,[ 曲江区 曲江新区 ] 雁翔路西北妇幼向南500米（杜陵国家遗...,在售,14000,元/㎡
枫林九溪,"[ 城北 港务区 ] 迎宾大道,近灞河东路",在售,10800,元/㎡
隆基泰和万和郡,"[ 西咸新区 泾河新城 ] 沣泾大道,近经五路",在售,7500,元/㎡
南飞鸿十年城,"[ 高新 科技路 ] 西三环,近科技二路",在售,12006,元/㎡
华安紫竹苑,"[ 城南 电子城 ] 欧亚路,近电子正街",在售,10500,元/㎡
湾流,"[ 浐灞 世园会 ] 欧亚大道,近世博大道",在售,23000,元/㎡
西安恒大雅苑,"[ 泾渭 泾渭工业园 ] 西高路,近桑军路",在售,8000,元/㎡
中铁琉森水岸,"[ 浐灞 灞河 ] 东城大道,近世博大道",在售,16000,元/㎡
梧桐年华,"[ 城西 三桥 ] 阿房二路,近阿房路",在售,9950,元/㎡
泰盈奥林匹克花园,"[ 西咸新区 沣东新城 ] 建章路,近桃李路",在售,12500,元/㎡
南湖7号,[ 浐灞 浐河 ] 雁鸣北路与白龙池路十字交汇处,在售,13000,元/㎡
万科悦湾,[ 浐灞 灞河 ] 欧亚三路与灞河西路交界处西北角,待售,12398,元/m²
碧桂园锦唐,[ 城东 矿山路 ] 广运潭大道与米秦北路十字东南角,待售,13344,元/m²
大明宫院子,[ 城北 大明宫 ] 大明宫遗址公园西隔壁建强路上,在售,21500,元/㎡
长安金茂府,[ 长安 大学城 ] 学府大街与汇文街交汇处,在售,19500,元/㎡
阳光城翡丽曲江,[ 曲江区 曲江新区 ] 长鸣路1808号,在售,14100,元/㎡
紫薇睿纳时代,[ 长安 大学城 ] 西长安街999号,待售,15625,元/m²
德杰状元府邸,"[ 城西 土门 ] 红光路,近汉城南路",待售,12294,元/m²
当代嘉宝公园悦MOMΛ,[ 城西 制药厂 ] 红光路与西三环十字交汇处向东300M路北,待售,11457,元/m²
常宁府,[ 长安 大学城 ] 常宁新区子午大道与神禾二路交汇处向东...,在售,13000,元/㎡
新城玺樾骊府,[ 西安周边 临潼 ] 凤凰池东路与芷阳四路十字交汇处西南角,在售,18000,元/㎡
恒大养生谷,[ 长安 秦岭 ] 子午大道与神禾二路十字往东200米,在售,16000,元/㎡
正荣府,[ 城北 大明宫 ] 北二环与先锋二路交汇处东北角,待售,15200,元/㎡
绿城春江花月,价格,在售,10500,元/㎡
保利樾公馆,"[ 城北 大明宫 ] 玄武路,近凝晖巷",待售,15657,元/m²
保利中央公园,[ 经济开发区 行政中心 ] 凤城八路与太华路十字西北角,在售,15000,元/㎡
林凯城,"[ 西咸新区 沣西新城 ] 秦皇路,近世纪大道",在售,13500,元/㎡
尚层MINI,[ 泾渭 泾渭工业园 ] 泾渭九路10号,在售,8100,元/㎡
群贤道九号,"[ 高新 唐延路 ] 南二环,近群贤路",在售,20000,元/㎡
雅居乐湖居笔记,"[ 长安 大学城 ] 子午大道,近神禾二路",待售,13883,元/m²
紫台福邸,[ 西安周边 临潼 ] 建新路与行者路交汇处（石油城北门对面...,在售,7500,元/㎡
绿城新兴玉园,[ 浐灞 灞河 ] 柳新路与柳雪路交汇处（铁一中滨河学校...,在售,12000,元/㎡
九境城,"[ 泾渭 泾渭工业园 ] 鹿苑大道,近西高路",在售,7300,元/㎡
华清学府城,[ 城东 建工路 ] 幸福南路85号,待售,12776,元/m²
摩登爱琴海,[ 西安周边 临潼 ] 陕鼓大道8号,待售,10136,元/m²
公馆壹号,[ 浐灞 浐河 ] 矿山路与十里铺北路十字西北角,待售,13274,元/m²
高新骊山下的院子,"[ 西安周边 临潼 ] 凤凰大道,近芷阳三路",在售,16000,元/㎡
世城滨江,"[ 西咸新区 沣西新城 ] 秦皇南路,近陈伍路",在售,9000,元/㎡
荣华碧水蓝庭,[ 西安周边 阎良 ] 蓝天路5号,在售,6900,元/㎡
文姬和园,[ 西安周边 蓝田 ] 文姬路与白羊路向北100米蓝田驾校对面,待售,6750,元/m²
万科金域悦府,[ 经济开发区 行政中心 ] 凤城十路与开元路交汇处西北角,待售,14615,元/m²
丝路自由之光,[ 浐灞 港务区 ] 港务大道98号,在售,8500,元/㎡
金开御府,[ 西安周边 阎良 ] 前进东路幸福小区西侧,在售,6500,元/㎡
君合天玺,[ 西咸新区 沣东新城 ] 昆明路与富源二路交汇处西南角,待售,12000,元/㎡
