house_name,house_location,house_status,house_price,price_unit
亚新美好天境,[ 中牟县 中牟县 ] 商都大道与兴安街交叉口路南,在售,11000,元/㎡
龙湖天宸原著,价格,待售,12000,元/㎡
路劲国际城,[ 中牟县 中牟县 ] 商都大道2996号,在售,12000,元/㎡
御品蔚来云城,[ 航空港区 航空港 ] 航空港区鄱阳湖路与凌风街交叉口西南角,在售,9100,元/㎡
锦艺金水湾,[ 金水 金水区 ] 文化路,在售,14500,元/㎡
豫发白鹭源春晓,[ 航空港区 航空港 ] 航空港区凌越街（祥丰街）与太湖路（郑...,在售,10500,元/㎡
碧桂园双湖城,[ 新郑市 龙湖 ] 南龙湖双湖大道与龙湖大道（京广快速路...,待售,10000,元/㎡
建业比华利庄园,[ 郑州周边 平原新区 ] 平原大道与郑新大道交汇处,在售,7300,元/㎡
龙湖锦艺城,[ 新郑市 龙湖 ] 双湖东道2号,在售,10500,元/㎡
泰山誉景,[ 金水 金水区 ] 花园路与北三环交会处东100米路北,在售,17000,元/㎡
融创城,[ 管城 管南片 ] 中州大道紫辰路交会处南500米,待售,14114,元/m²
兴港和昌云著,[ 航空港区 航空港 ] 航空港区--北港  雍州路护航路交叉口,待售,10133,元/m²
永恒理想世界,[ 管城 管南片 ] 航海路,在售,12900,元/㎡
和昌盛世城邦,"[ 航空港区 航空港 ] 航兴路,近新港十一路",在售,8500,元/㎡
蓝光凤湖长岛国际社区,[ 郑州周边 平原新区 ] 中州大道和长江大道交汇处往东300米路...,在售,7500,元/㎡
华润悦景湾,[ 高新区 科学大道 ] 高新区科学大道与红松路交叉口北1500米,在售,11500,元/㎡
郑西鑫苑名家,[ 荥阳市 荥阳市 ] 郑上路,在售,7200,元/㎡
东原阅城,[ 高新区 高新区 ] 西三环与三全路交汇处向南200米,在售,14500,元/㎡
鑫苑德润珺园,[ 二七 南三环 ] 二七区南三环与行云路交会处东北角,在售,13200,元/㎡
万科民安江山府,[ 惠济 惠济区 ] 北三环金杯路交会向北约500米,待售,14194,元/m²
星联御象湖,[ 郑东新区 郑东新区 ] 郑东新区金水东路与中山路（原贺庄路）...,在售,13500,元/㎡
朗悦公园道1号,[ 高新区 高新区 ] 雪松路,在售,11500,元/㎡
中晟柒号院,[ 二七 南三环 ] 长江路与西三环向西500米,在售,13240,元/㎡起
